,Beads/IFNg | Geometric Mean (PE ( 561 )-A),Beads/IL-2 | Geometric Mean (PE ( 561 )-A),Beads/IL-4 | Geometric Mean (PE ( 561 )-A),Beads/IL-6 | Geometric Mean (PE ( 561 )-A),Beads/IL-10 | Geometric Mean (PE ( 561 )-A),Beads/IL-17A | Geometric Mean (PE ( 561 )-A),Beads/TNFa | Geometric Mean (PE ( 561 )-A),
Sample_A1_A01_001.fcs,1,1,1,1,1,1,1,
Sample_A2_A02_002.fcs,1,1,1,1,1,1,1,
Sample_A3_A03_003.fcs,1,1,1,1,1,1,1,
Sample_A4_A04_004.fcs,1,1,1,1,1,1,1,
Sample_A5_A05_005.fcs,1,1,1,1,1,1,1,
Sample_A6_A06_006.fcs,1,1,1,1,1,1,1,
Sample_A7_A07_007.fcs,1,1,1,1,1,1,1,
Sample_A8_A08_008.fcs,1,1,1,1,1,1,1,
Sample_A9_A09_009.fcs,1,1,1,1,1,1,1,
Sample_A10_A10_010.fcs,1,1,1,1,1,1,1,
Sample_A11_A11_011.fcs,1,1,1,1,1,1,1,
Sample_A12_A12_012.fcs,1,1,1,1,1,1,1,
Sample_B1_B01_013.fcs,1,1,1,1,1,1,1,
Sample_B2_B02_014.fcs,1,1,1,1,1,1,1,
Sample_B3_B03_015.fcs,1,1,1,1,1,1,1,
Sample_B4_B04_016.fcs,1,1,1,1,1,1,1,
Sample_B5_B05_017.fcs,1,1,1,1,1,1,1,
Sample_B6_B06_018.fcs,1,1,1,1,1,1,1,
Sample_B7_B07_019.fcs,1,1,1,1,1,1,1,
Sample_B8_B08_020.fcs,1,1,1,1,1,1,1,
Sample_B9_B09_021.fcs,1,1,1,1,1,1,1,
Sample_B10_B10_022.fcs,1,1,1,1,1,1,1,
Sample_B11_B11_023.fcs,1,1,1,1,1,1,1,
Sample_B12_B12_024.fcs,1,1,1,1,1,1,1,
Sample_C1_C01_025.fcs,1,1,1,1,1,1,1,
Sample_C2_C02_026.fcs,1,1,1,1,1,1,1,
Sample_C3_C03_027.fcs,1,1,1,1,1,1,1,
Sample_C4_C04_028.fcs,1,1,1,1,1,1,1,
Sample_C5_C05_029.fcs,1,1,1,1,1,1,1,
Sample_C6_C06_030.fcs,1,1,1,1,1,1,1,
Sample_C7_C07_031.fcs,1,1,1,1,1,1,1,
Sample_C8_C08_032.fcs,1,1,1,1,1,1,1,
Sample_C9_C09_033.fcs,1,1,1,1,1,1,1,
Sample_C10_C10_034.fcs,1,1,1,1,1,1,1,
Sample_C11_C11_035.fcs,1,1,1,1,1,1,1,
Sample_C12_C12_036.fcs,1,1,1,1,1,1,1,
Sample_D1_D01_037.fcs,1,1,1,1,1,1,1,
Sample_D2_D02_038.fcs,1,1,1,1,1,1,1,
Sample_D3_D03_039.fcs,1,1,1,1,1,1,1,
Sample_D4_D04_040.fcs,1,1,1,1,1,1,1,
Sample_D5_D05_041.fcs,1,1,1,1,1,1,1,
Sample_D6_D06_042.fcs,1,1,1,1,1,1,1,
Sample_D7_D07_043.fcs,1,1,1,1,1,1,1,
