,Beads/IFNg | Geometric Mean (PE ( 561 )-A),Beads/IL-2 | Geometric Mean (PE ( 561 )-A),Beads/IL-4 | Geometric Mean (PE ( 561 )-A),Beads/IL-6 | Geometric Mean (PE ( 561 )-A),Beads/IL-10 | Geometric Mean (PE ( 561 )-A),Beads/IL-17A | Geometric Mean (PE ( 561 )-A),Beads/TNFa | Geometric Mean (PE ( 561 )-A),
Specimen_002_A3_A03_001.fcs,166741,17918,58202,104090,39771,47881,65751,
Specimen_002_A4_A04_002.fcs,139596,21713,53593,70128,22127,47791,43012,
Specimen_002_B3_B03_003.fcs,88342,22036,45210,41255,9945,36674,22646,
Specimen_002_B4_B04_004.fcs,42164,20886,27167,20369,5153,20370,11497,
Specimen_002_C3_C03_005.fcs,22866,13591,14522,10073,2647,11473,5858,
Specimen_002_C4_C04_006.fcs,11049,7344,5719,4902,1585,4693,2617,
Specimen_002_D3_D03_007.fcs,5431,3502,2630,2788,954,3402,1457,
Specimen_002_D4_D04_008.fcs,3447,2386,1678,1657,598,1687,947,
Specimen_002_E3_E03_009.fcs,1174,1075,807,657,371,698,515,
Specimen_002_E4_E04_010.fcs,1039,926,626,638,359,638,500,
Specimen_002_F3_F03_011.fcs,696,702,508,468,330,437,367,
Specimen_002_F4_F04_012.fcs,497,604,415,358,300,368,316,
Specimen_002_G3_G03_013.fcs,369,514,416,370,291,369,317,
Specimen_002_G4_G04_014.fcs,352,492,405,306,255,306,288,
Specimen_002_H3_H03_015.fcs,313,465,393,323,297,329,290,
Specimen_002_H4_H04_016.fcs,334,432,383,316,278,287,282,
Mean,30276,7162,13292,16169,5329,11088,9791,
SD,53476,8771,20769,30358,10814,17396,18850,
