"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
548,341,251,477,431,528,619,407,298,269,409,284,243,315
191,264,270,382,517,421,541,313,266,259,328,265,242,291
188,120,239,323,352,378,462,325,270,244,288,255,235,243
175,150,261,410,528,400,515,319,262,253,306,249,242,276
192,122,243,338,391,394,437,277,261,237,283,238,235,274
175,138,245,330,453,364,464,317,237,248,277,250,233,245
351,346,368,551,766,553,640,425,350,308,430,273,244,385
174,146,247,371,461,352,471,276,252,247,299,251,234,289
313,207,436,537,849,524,604,383,352,386,382,272,251,427
343,276,330,509,755,537,606,404,307,289,426,256,238,317
194,109,237,297,258,345,423,270,235,241,259,247,231,236
262,319,340,490,755,505,589,384,305,302,377,269,246,358
136,150,262,384,534,362,502,327,245,256,282,262,236,290
168,99,239,327,374,342,419,302,244,223,269,241,234,266
168,135,244,339,346,357,395,237,237,231,274,226,236,260
176,138,237,313,292,322,306,254,245,240,282,235,232,239
214,100,251,327,546,347,365,265,236,255,299,247,235,284
267,180,258,432,437,481,573,396,263,243,362,261,230,269
268,556,331,538,678,635,783,659,466,445,520,365,303,560
310,414,263,426,518,510,657,494,342,303,378,273,260,437
177,116,294,376,691,349,389,240,250,275,280,243,238,247
160,63,231,293,339,345,489,269,236,234,279,235,234,258
188,91,338,415,744,382,516,326,283,291,299,250,248,283
205,129,259,378,574,392,471,343,252,254,291,245,234,251
311,242,252,467,390,514,589,412,259,241,393,262,238,335
284,390,314,540,593,483,613,349,284,268,364,279,245,350
209,414,309,504,600,522,660,496,350,323,404,302,267,447
199,467,262,420,465,541,676,485,316,287,425,302,251,379
205,145,236,313,257,351,488,312,237,238,288,248,231,249
164,75,242,322,307,362,396,279,238,243,280,246,230,250
345,300,270,435,509,532,605,357,280,260,398,274,243,313
575,389,302,535,701,601,680,478,332,300,466,267,255,389
461,538,355,596,733,584,692,496,343,319,467,294,250,437
227,163,257,392,504,459,545,339,251,244,338,261,239,285
246,498,308,534,633,508,608,398,290,274,361,267,246,329
179,220,249,356,509,405,505,332,253,237,287,252,226,320
291,259,401,524,802,523,595,426,327,338,382,271,254,394
195,61,239,288,390,354,463,298,233,248,275,247,235,242
173,114,235,315,378,322,410,284,234,232,279,233,227,248
190,215,248,374,451,390,542,304,245,237,294,257,233,281
236,414,329,543,661,502,592,443,309,279,371,270,241,378
223,160,244,359,332,412,487,266,239,251,296,253,235,259
179,74,270,284,323,339,418,319,247,251,275,241,230,247
125,105,235,292,351,322,425,276,231,236,274,251,230,243
288,427,278,458,623,503,593,444,294,289,373,260,246,375
195,168,239,344,339,349,427,272,239,233,278,252,231,253
175,96,295,402,715,385,495,267,259,269,282,251,237,284
353,264,322,516,735,549,639,414,305,301,413,262,239,362
202,130,242,331,447,375,506,351,249,230,300,254,233,283
169,94,238,304,256,303,354,294,251,227,264,241,233,242
207,82,293,381,684,335,493,262,250,259,281,252,232,280
174,80,239,316,277,307,396,257,236,231,257,245,231,253
157,115,234,303,329,317,351,311,246,236,263,240,231,233
335,297,266,476,529,531,593,397,268,266,391,247,238,318
191,92,235,301,282,327,433,303,245,236,269,235,238,250
136,106,232,269,238,319,447,291,241,258,262,255,232,234
172,75,231,280,280,312,449,266,239,240,269,236,230,234
193,94,241,349,288,384,477,313,238,239,289,250,235,269
226,104,243,341,314,419,496,301,244,241,299,248,234,276
141,80,239,300,218,342,496,324,248,241,282,237,237,256
234,112,249,369,600,377,472,309,250,244,291,254,238,282
271,202,247,393,456,424,534,358,247,251,334,263,234,276
229,243,242,358,268,407,537,341,250,237,315,250,233,275
200,82,249,330,455,375,503,330,248,242,294,228,240,274
203,109,238,318,320,353,473,303,246,245,298,247,237,291
197,71,236,295,375,374,405,248,256,253,296,242,236,268
220,136,243,396,228,431,476,324,246,232,309,263,236,285
187,70,241,304,350,342,439,276,236,232,280,244,237,237
141,100,238,297,313,295,390,254,248,240,255,232,228,258
176,161,252,326,493,352,489,291,251,259,296,238,233,250
480,575,453,609,860,585,656,496,390,402,463,292,264,458
181,97,248,333,396,354,474,334,244,239,286,239,232,230
553,564,329,593,669,631,710,516,340,299,521,330,252,456
497,436,411,588,816,598,684,469,354,352,474,286,253,414
274,269,292,484,604,473,582,381,277,260,333,257,237,311
311,182,248,400,411,452,520,362,244,244,336,256,234,252
393,695,389,626,740,613,701,520,368,335,485,340,255,430
220,192,259,372,523,450,512,318,262,236,331,251,237,265
354,310,330,515,717,538,614,468,295,293,420,260,252,352
147,151,260,380,486,354,444,360,253,245,282,245,233,286
307,422,333,566,687,602,673,467,298,293,486,310,246,409
225,225,288,462,558,457,525,403,273,270,343,242,231,281
146,183,273,397,492,407,530,355,267,259,318,257,233,312
269,259,289,464,677,470,535,354,266,267,338,263,238,303
262,211,253,429,548,462,541,388,258,259,342,242,234,324
256,249,265,428,537,471,580,392,255,266,333,270,235,311
349,341,439,558,818,570,637,453,338,368,432,296,240,373
164,104,232,329,224,345,399,275,241,220,277,226,236,277
317,270,338,509,713,527,602,395,294,294,393,265,246,369
205,100,251,336,522,373,456,286,243,244,289,241,229,254
242,118,241,357,300,400,507,300,242,232,296,250,229,274
180,149,254,401,532,410,476,289,249,241,298,250,231,309
347,251,292,509,621,537,614,411,283,266,401,281,247,336
177,59,249,313,296,346,422,332,244,230,284,236,233,285
278,152,249,406,455,431,534,305,247,249,319,250,227,291
511,451,321,579,653,593,691,510,335,291,484,304,252,419
470,461,381,554,768,584,658,465,337,330,453,290,250,424
175,67,246,296,461,339,483,325,233,238,274,233,232,260
171,81,294,374,683,358,413,264,265,260,290,241,239,269
326,242,270,481,599,522,582,436,255,273,381,265,231,298
288,189,253,381,423,396,527,397,254,249,301,248,236,296
210,112,252,337,416,378,416,324,249,256,295,248,237,262
166,134,247,341,433,382,414,306,252,237,287,253,232,271
440,509,288,536,626,589,660,473,299,273,472,290,245,361
351,353,339,511,740,559,632,422,308,322,416,272,247,361
164,69,243,293,249,330,341,276,242,240,262,249,231,264
180,86,243,307,424,331,487,269,237,237,272,243,230,264
209,294,273,431,553,480,557,395,268,268,354,277,242,328
306,227,257,432,504,504,588,389,269,250,387,273,241,322
163,104,239,303,260,323,434,206,246,231,265,236,231,238
111,177,252,325,426,356,454,318,255,236,273,250,234,255
195,99,313,408,712,360,471,300,282,271,289,249,245,288
289,309,305,514,690,542,628,405,291,275,412,295,243,346
325,238,270,460,572,526,596,405,275,255,394,265,240,311
145,91,248,303,526,322,405,274,253,244,262,234,229,250
321,477,377,442,667,598,782,689,526,521,513,403,372,603
118,177,260,368,563,395,525,419,279,280,303,263,244,339
288,472,279,495,594,523,623,446,306,276,394,294,243,368
171,117,243,311,433,323,247,228,239,235,256,233,235,244
180,146,242,293,439,345,386,303,254,232,266,240,230,260
197,162,247,390,358,396,475,320,255,252,316,245,236,251
187,85,231,303,348,369,474,284,243,237,269,235,230,259
254,258,296,473,567,478,575,381,279,259,347,251,242,353
140,247,266,451,559,379,553,338,265,275,289,248,240,293
165,84,239,286,430,358,473,284,243,242,267,249,240,253
477,462,383,589,789,600,690,482,340,336,476,297,251,414
429,430,350,565,751,589,657,441,339,317,453,287,253,386
173,69,232,312,419,324,357,268,244,240,275,233,232,278
444,356,298,515,668,574,635,433,301,287,459,265,248,332
382,494,396,568,773,547,641,471,351,334,416,291,247,359
498,468,321,572,703,587,675,465,306,297,452,288,244,382
165,89,235,320,333,340,421,284,249,236,271,237,234,266
358,263,317,507,699,560,625,400,310,317,428,267,251,330
419,289,368,547,806,554,617,431,349,334,421,261,242,388
175,136,292,388,678,392,439,311,259,266,277,243,237,268
326,356,246,483,499,564,647,487,297,275,415,296,246,371
159,95,244,303,370,358,461,235,246,243,273,242,234,262
181,160,239,311,343,344,458,281,244,239,291,243,233,242
226,196,246,374,350,429,516,322,238,254,305,250,232,290
194,125,242,363,452,431,491,302,261,236,308,253,234,275
182,88,246,319,291,322,455,279,233,239,279,233,234,240
176,185,260,329,397,455,643,483,330,297,366,274,258,421
207,134,241,345,453,386,515,307,237,241,292,245,232,261
144,121,248,343,379,359,483,289,240,244,287,247,236,241
246,180,279,410,657,441,539,340,270,277,318,239,242,282
344,429,356,549,758,599,669,481,341,319,472,290,248,360
346,393,300,552,630,584,659,486,300,290,459,317,248,360
363,310,314,496,641,562,629,400,290,277,432,296,237,399
204,152,237,347,390,384,460,212,265,231,277,250,236,251
201,95,235,322,184,372,484,327,235,249,271,238,234,225
146,86,236,287,310,323,466,232,231,223,266,245,239,249
205,102,237,340,415,391,458,275,236,229,296,233,232,238
469,450,473,597,846,584,647,483,370,388,447,299,258,415
253,170,267,436,518,487,605,466,295,278,357,275,251,366
203,109,241,318,394,360,441,323,258,253,297,239,234,265
167,206,248,357,420,396,439,328,248,236,289,245,232,298
178,268,277,479,534,434,547,411,267,255,314,270,240,305
261,180,259,394,601,441,555,329,258,238,333,264,230,291
132,223,268,403,539,406,551,392,261,250,318,257,240,289
140,361,283,465,607,676,812,669,471,407,558,378,299,566
166,135,241,315,362,334,403,283,238,234,258,244,237,275
514,487,383,580,799,592,670,474,349,335,459,310,240,428
202,87,233,309,177,355,449,288,244,226,269,241,229,228
272,350,318,451,728,456,524,373,267,291,326,273,242,274
237,164,250,380,388,424,532,282,247,235,323,256,238,265
188,139,237,329,380,358,406,293,250,226,288,250,228,250
159,96,245,288,307,321,384,269,237,255,258,245,234,264
216,304,287,428,640,453,564,412,287,273,334,268,242,382
190,64,238,292,341,329,436,244,235,229,273,233,230,274
131,56,242,281,394,313,454,292,237,235,259,237,232,256
229,209,311,483,738,449,548,381,285,294,320,240,238,314
171,85,242,314,361,355,434,268,247,243,266,243,244,244
203,89,248,340,304,373,502,268,254,236,281,245,234,242
208,100,265,366,584,364,501,243,242,238,299,234,237,275
413,333,334,513,735,535,645,452,323,294,419,259,245,365
219,192,246,393,329,427,504,339,257,243,298,260,233,266
383,331,394,562,800,579,654,455,351,329,452,276,251,384
193,128,285,402,639,392,450,294,266,268,289,254,238,298
186,264,267,423,568,433,541,361,280,255,321,257,234,310
192,78,236,321,366,338,394,278,233,245,271,245,232,264
178,104,232,306,230,342,429,260,242,244,279,244,230,224
230,131,238,360,317,403,509,318,241,245,316,252,235,269
122,235,289,441,585,417,538,362,264,262,306,269,241,295
404,472,361,551,767,590,670,485,330,309,461,298,243,386
148,78,240,285,365,315,430,288,240,226,258,232,232,243
249,144,246,377,491,448,528,304,252,250,328,252,233,313
217,417,297,513,662,516,620,409,290,265,361,268,243,350
189,96,236,322,312,368,467,253,240,245,289,228,231,247
176,242,276,443,553,426,563,388,257,250,337,263,242,282
356,302,269,474,472,533,625,419,263,248,407,270,236,345
191,159,260,389,464,406,444,308,254,246,295,245,233,278
