"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
232,385,246,411,333,500,618,452,275,255,358,280,244,339
357,272,336,465,383,563,641,458,294,273,439,293,242,343
129,94,244,301,246,313,359,310,234,233,260,239,235,240
184,79,233,304,267,323,419,304,247,249,263,234,232,239
185,176,237,349,252,392,504,347,248,249,313,255,234,306
169,224,242,309,363,398,536,345,265,253,317,258,243,298
139,91,233,291,253,352,264,261,236,239,285,241,231,278
221,265,308,390,348,464,592,400,274,245,347,247,236,300
390,348,254,442,332,540,628,414,267,248,394,282,237,325
195,118,237,308,275,313,431,325,247,239,273,243,234,247
98,241,243,338,296,383,519,325,252,254,308,261,230,267
163,122,235,305,281,389,497,335,250,247,288,235,236,283
387,386,307,456,384,539,624,431,281,256,408,266,247,299
165,104,236,301,218,341,434,284,247,226,265,241,233,279
361,351,493,469,516,554,624,430,363,312,436,276,272,380
166,71,235,285,293,300,379,252,229,235,265,238,233,242
143,121,235,300,284,381,477,296,244,232,290,230,226,229
646,715,451,571,453,638,704,526,366,304,519,337,259,397
171,69,240,292,267,342,428,206,233,238,261,234,232,237
446,307,318,464,342,549,629,424,290,267,410,268,240,292
165,252,282,291,420,482,663,535,385,355,395,300,281,494
263,473,247,436,353,518,612,426,278,258,369,277,235,295
200,100,233,301,266,350,495,273,246,241,279,246,235,286
175,117,234,309,241,318,439,302,231,237,274,235,232,283
446,433,426,500,477,585,665,443,331,302,450,298,251,379
125,312,247,354,324,433,550,406,262,256,328,263,240,337
181,74,235,312,247,306,381,270,240,235,280,238,232,249
388,249,240,409,268,495,591,348,268,243,373,256,229,279
166,91,232,313,244,320,405,307,246,239,261,245,234,262
406,376,323,475,408,560,627,383,301,267,432,280,245,316
178,308,252,425,273,482,617,396,260,250,366,301,237,346
332,224,277,404,392,485,558,417,282,259,356,282,243,280
190,170,243,333,293,424,566,393,272,263,338,250,243,354
215,94,236,303,259,368,464,279,236,232,272,245,237,253
231,190,230,364,287,454,534,357,251,243,324,251,230,246
321,314,253,448,310,524,630,417,282,256,414,270,233,301
162,152,241,325,271,377,472,299,263,244,286,234,233,278
468,361,342,514,388,581,659,426,302,266,454,285,251,350
192,114,241,349,267,378,491,304,242,231,295,254,235,225
373,310,314,466,364,527,621,429,281,256,400,288,237,338
379,526,283,471,376,560,663,502,294,292,435,301,243,362
231,292,242,368,333,450,600,405,270,258,324,246,236,349
589,615,453,579,508,622,712,505,369,307,502,326,262,408
185,291,250,414,367,519,625,415,282,255,384,279,237,338
211,90,238,314,254,373,420,276,249,231,287,236,236,265
120,112,238,313,299,352,470,315,233,223,280,235,231,249
193,124,233,307,269,340,446,289,235,240,267,243,232,273
376,265,278,464,319,540,624,430,277,252,413,291,234,313
294,262,255,448,316,511,597,393,263,245,365,281,239,330
185,282,241,344,309,430,515,336,254,246,310,266,238,286
295,194,239,414,262,441,533,347,261,246,332,259,238,292
175,104,233,300,275,323,362,261,242,241,261,226,239,256
188,263,241,364,321,417,521,390,257,258,318,253,240,289
196,105,234,316,268,371,438,286,238,229,281,249,229,236
203,174,241,370,268,428,458,336,253,241,331,256,235,263
188,93,240,327,247,357,402,324,248,250,285,240,235,277
186,112,233,297,289,365,461,298,238,239,273,250,233,254
211,92,235,301,231,334,430,302,246,232,267,239,232,232
165,101,237,288,254,337,496,298,242,246,271,240,232,245
186,62,266,344,315,395,466,262,251,234,307,247,241,281
142,141,238,321,234,364,496,296,242,233,287,250,237,264
161,74,238,301,232,299,457,244,241,225,277,241,229,247
196,87,236,318,244,333,486,247,240,226,275,231,231,255
454,427,272,538,396,588,680,472,290,276,462,266,241,342
143,187,235,330,284,403,516,391,255,256,323,251,241,317
392,245,249,488,335,557,632,420,281,245,410,293,241,312
158,123,235,313,269,300,358,297,234,244,268,246,238,255
169,80,236,311,264,371,430,333,250,238,285,232,233,254
187,105,241,306,257,340,355,323,244,247,276,239,235,290
283,198,255,403,334,483,566,344,265,245,360,251,238,298
176,125,241,313,268,331,331,244,239,234,286,235,234,238
368,314,304,450,330,544,641,421,287,259,414,284,243,287
183,201,245,357,273,438,501,337,260,249,329,256,237,282
314,475,281,462,405,535,648,457,298,276,400,271,237,340
142,80,236,299,284,309,391,248,235,245,263,228,231,263
314,348,395,441,434,534,616,430,307,266,408,273,254,319
311,310,257,398,315,482,589,383,273,253,387,286,240,302
244,110,241,352,261,379,485,283,241,229,301,243,233,268
294,301,469,523,449,575,655,451,341,304,442,285,267,337
193,119,237,322,264,372,384,291,231,239,284,233,232,265
160,64,234,273,239,283,321,284,230,245,262,243,230,218
167,140,241,307,274,339,459,260,245,228,281,246,235,244
447,278,497,500,537,570,630,433,365,312,430,270,277,339
385,210,396,469,391,544,622,420,316,267,422,276,252,307
179,255,243,388,278,422,501,358,259,239,314,263,232,287
215,153,231,300,245,386,442,295,241,237,282,242,232,263
180,116,238,332,252,364,490,309,245,244,286,252,233,272
191,323,260,433,357,466,570,375,277,261,338,248,237,324
399,375,317,496,405,568,647,437,309,250,446,282,243,330
137,73,238,295,274,310,291,257,230,226,260,229,232,237
374,323,576,547,521,580,632,499,413,339,440,265,283,387
180,205,247,344,284,415,542,325,269,263,318,267,237,262
201,418,266,412,345,503,606,394,280,258,376,271,238,307
359,308,425,476,420,544,610,419,306,276,404,282,245,312
160,93,236,275,276,315,465,274,239,240,244,239,233,237
97,179,247,295,261,391,495,352,250,247,293,256,234,276
392,395,487,509,517,580,667,500,362,309,453,295,259,383
390,294,287,453,356,517,588,391,281,254,389,285,237,281
172,69,231,309,220,333,381,309,235,237,270,243,237,252
121,195,252,346,305,413,464,337,251,256,305,261,234,291
181,76,231,300,288,332,381,269,247,242,279,247,232,254
158,149,245,323,292,374,500,332,241,237,293,238,239,259
290,268,242,373,340,439,536,350,264,252,319,250,241,305
204,148,238,341,274,390,482,312,253,233,288,242,235,283
272,219,251,422,332,483,590,362,266,249,364,254,235,324
196,45,232,282,263,318,341,295,236,227,261,233,230,247
493,317,411,516,447,578,647,461,319,285,459,276,251,320
148,146,247,330,275,360,428,288,252,251,275,240,235,253
124,91,234,291,243,325,447,283,247,236,258,231,234,264
209,161,235,331,282,409,509,269,265,244,310,242,235,278
223,191,237,360,225,433,560,386,238,239,322,255,235,274
191,167,247,332,276,372,505,352,245,243,300,260,232,270
191,100,236,325,244,356,393,295,252,241,289,248,233,232
163,82,231,287,218,337,363,279,246,245,279,241,237,262
334,226,249,443,339,492,582,361,272,257,384,259,242,314
