"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
166,318,242,374,284,428,529,370,259,249,312,241,235,288
276,265,253,449,315,548,628,402,262,241,410,260,231,307
197,182,259,386,344,483,610,449,301,267,364,276,253,337
316,265,258,470,325,537,631,452,275,252,421,260,236,316
250,179,242,351,274,427,513,332,253,244,320,254,241,256
448,333,587,513,558,582,661,478,433,338,457,305,301,341
181,63,232,300,260,323,396,257,231,231,265,240,231,225
213,108,226,326,329,365,437,290,252,246,294,261,234,259
219,224,242,385,251,478,567,349,266,244,354,251,236,306
175,236,246,290,341,365,550,389,248,248,301,254,240,329
389,364,451,503,451,582,659,467,325,292,461,269,251,362
264,256,297,415,359,499,605,423,286,256,364,260,244,356
201,86,234,324,244,360,493,246,243,236,275,225,236,228
201,113,271,317,306,358,425,297,245,238,268,239,237,252
264,230,252,405,279,477,589,328,254,244,363,260,233,282
461,424,364,521,427,592,670,474,315,275,460,311,248,327
172,99,237,306,235,330,329,248,233,234,261,244,238,253
190,75,235,307,269,302,393,260,231,234,286,235,232,271
261,231,239,391,273,460,564,342,258,248,353,251,234,279
441,512,366,520,449,586,652,496,331,286,453,305,250,414
457,517,448,552,501,617,685,508,361,298,500,303,252,369
338,190,240,386,274,455,560,317,241,239,333,255,235,296
125,126,244,284,360,392,570,458,297,292,294,247,246,357
182,101,234,306,256,338,450,251,253,242,276,239,237,242
163,112,241,299,233,358,369,221,242,239,261,242,233,267
152,125,233,304,231,346,482,249,242,236,272,239,231,250
199,106,240,340,265,367,450,286,238,243,281,238,235,253
198,124,234,308,283,354,421,298,237,245,282,248,236,254
385,337,349,467,438,549,627,453,302,262,415,273,247,305
200,186,240,339,272,414,527,331,245,242,307,255,235,257
180,101,238,339,265,390,450,301,240,244,305,251,241,258
224,177,246,378,290,446,547,362,258,230,321,259,230,285
231,261,254,466,411,555,676,522,338,296,432,294,248,406
352,363,420,442,404,500,575,416,302,264,363,259,249,308
182,203,241,356,328,429,533,395,268,267,338,263,238,303
183,58,237,289,254,357,380,252,236,232,271,240,232,246
354,257,436,463,453,537,606,422,318,281,411,264,252,322
198,147,235,335,250,368,446,303,242,244,284,243,233,258
163,269,250,355,383,444,584,409,270,250,354,277,246,310
196,115,236,329,271,373,392,306,242,247,281,256,246,260
143,73,237,281,237,333,345,298,248,237,270,242,239,240
202,163,267,367,289,430,532,407,254,266,320,250,239,333
206,85,235,307,254,346,513,291,240,234,297,239,230,272
226,193,241,346,277,408,461,326,247,248,315,242,233,259
181,54,235,284,230,330,321,264,229,239,261,245,229,236
204,73,235,309,291,373,466,282,241,236,279,244,232,263
184,131,234,310,271,388,526,253,244,232,293,233,230,264
195,63,237,288,298,326,400,254,230,237,276,236,233,243
334,282,270,461,339,530,622,421,280,255,404,276,238,305
292,314,242,440,358,523,599,428,258,241,402,278,235,308
558,376,256,514,321,567,647,462,286,265,429,273,241,305
165,233,240,300,244,337,322,349,243,236,269,252,234,258
233,145,248,348,304,438,526,320,253,241,331,243,228,284
194,85,229,295,223,359,370,282,238,234,273,236,238,250
184,87,237,297,271,322,466,289,243,228,273,250,228,252
334,235,254,445,336,524,612,433,274,250,403,275,239,303
460,478,642,534,615,603,689,511,473,408,488,276,322,400
203,398,314,418,552,589,744,648,448,439,524,390,307,552
162,137,234,286,259,316,419,294,241,238,260,249,230,270
160,80,259,293,270,310,464,213,233,240,266,244,231,253
175,58,239,291,285,330,360,257,245,232,276,245,238,230
299,161,250,398,298,456,533,343,259,244,340,250,237,313
191,96,237,298,276,351,433,255,248,234,279,244,238,279
208,78,233,304,286,371,475,332,241,237,288,243,232,257
188,131,231,335,342,515,583,349,251,236,272,231,240,239
218,99,230,335,225,363,472,316,246,232,293,246,236,247
208,82,235,290,289,349,361,311,234,246,272,255,227,237
183,84,240,309,221,336,465,232,240,235,281,243,234,264
189,59,233,320,270,373,458,232,246,243,273,238,231,268
596,557,494,539,482,592,673,485,357,306,478,318,272,393
176,194,239,334,312,401,547,350,247,243,305,247,231,266
321,297,242,393,319,454,569,397,271,249,326,262,237,279
232,169,252,367,272,442,473,329,277,236,318,249,231,289
295,358,389,424,407,480,545,403,301,283,334,267,253,272
215,143,236,321,277,385,499,318,248,245,299,241,232,261
395,288,503,480,533,545,646,391,375,318,420,260,262,347
332,212,265,450,334,534,610,399,265,269,418,281,240,313
170,87,234,293,271,345,409,324,243,243,261,235,231,253
428,328,305,496,376,553,635,427,272,264,424,281,242,310
187,149,241,294,254,358,515,306,256,237,286,237,234,292
171,115,229,284,246,343,345,280,237,241,274,257,230,257
163,94,235,306,266,379,516,237,238,254,289,244,235,239
189,159,247,336,235,406,540,351,255,252,334,247,241,310
183,137,240,320,262,362,458,321,248,247,283,246,238,278
323,251,247,447,303,531,611,400,270,254,400,282,241,299
150,125,238,342,243,389,482,287,231,249,291,240,236,259
174,110,234,327,281,385,492,321,249,243,287,251,230,270
109,117,287,236,473,416,655,570,399,390,367,308,297,513
204,111,235,332,266,369,399,266,247,245,274,246,239,292
212,183,237,327,242,397,463,253,244,233,293,253,233,238
149,88,230,292,269,347,373,293,246,239,265,238,235,240
191,372,276,400,407,507,575,442,278,260,373,261,237,324
541,292,385,522,407,578,642,440,314,271,451,282,241,356
156,49,231,287,233,299,337,302,228,231,263,243,227,234
452,420,414,511,472,586,653,460,318,280,457,279,246,355
428,461,261,508,377,570,659,479,273,275,428,312,243,343
139,69,233,274,248,296,298,341,242,238,269,239,237,241
239,64,238,307,276,381,484,300,242,233,278,239,231,228
217,186,250,338,408,457,623,485,311,301,340,264,243,383
339,385,283,458,346,513,603,427,277,251,377,282,243,334
423,407,493,555,502,613,676,511,364,304,485,301,277,409
225,276,259,438,308,536,622,408,268,259,407,274,240,326
174,74,238,289,245,340,468,266,231,240,264,238,230,266
439,378,307,494,353,562,638,447,296,264,435,260,246,324
317,379,324,461,413,553,640,441,291,263,441,265,239,354
209,230,240,349,242,417,524,320,245,245,310,256,234,297
233,345,241,389,257,465,546,366,256,251,331,252,239,285
168,93,238,290,268,345,504,304,244,238,270,240,238,265
212,334,275,466,354,557,660,432,298,256,410,277,240,294
128,300,240,351,338,448,574,430,284,270,322,285,248,327
421,175,238,403,322,445,559,373,253,244,337,266,238,257
226,115,241,373,287,378,465,274,250,241,317,242,233,251
215,239,251,398,268,446,535,369,254,239,314,257,231,267
249,117,236,361,275,425,489,281,241,230,290,234,236,267
224,138,237,349,246,410,513,339,255,236,300,247,235,279
585,507,289,510,391,574,651,465,281,273,437,289,238,333
396,331,380,503,444,566,628,445,314,275,439,279,246,364
136,126,238,318,231,360,454,290,239,226,274,250,231,261
206,141,232,319,253,368,497,314,238,237,292,259,235,254
233,336,460,425,444,477,610,418,319,285,362,260,258,348
191,70,236,311,255,352,418,257,239,239,290,231,229,266
459,666,422,494,475,578,685,514,336,298,455,301,259,355
525,314,264,533,339,585,662,466,285,263,454,288,241,321
256,329,256,406,391,502,633,476,285,250,375,288,236,351
167,112,231,309,241,339,444,264,237,229,274,247,233,267
186,106,232,343,246,385,522,298,247,239,295,256,236,258
202,293,243,355,301,423,582,445,259,255,344,274,232,310
214,186,238,358,254,406,534,343,256,233,294,247,230,254
166,307,290,400,316,468,591,366,278,257,334,289,242,328
206,121,230,334,266,377,486,272,247,242,304,275,235,238
397,551,550,516,578,587,680,516,424,368,455,313,289,421
170,173,243,305,253,392,466,315,250,236,288,236,231,235
375,384,302,466,407,549,630,431,291,272,429,277,244,354
399,308,487,493,495,547,637,449,356,297,425,268,257,318
222,250,240,358,335,412,534,377,243,231,304,247,229,306
262,160,242,370,269,432,480,348,254,246,306,257,240,256
209,92,235,328,255,371,389,339,244,231,290,248,231,274
193,257,246,388,287,424,559,292,245,250,309,258,243,270
163,116,238,290,267,300,430,285,235,240,263,241,232,257
147,105,237,272,237,313,340,288,243,233,251,238,234,256
187,236,316,363,362,413,486,361,264,253,337,262,237,303
248,180,241,371,289,439,517,325,248,239,328,253,228,283
363,277,250,487,299,606,660,448,286,256,474,282,237,372
459,726,280,522,453,593,687,520,311,307,472,332,248,429
334,288,376,476,416,548,608,442,298,277,414,300,257,303
209,134,237,321,271,339,432,300,244,239,283,230,232,223
140,134,241,309,232,303,398,284,255,238,276,231,236,281
315,534,283,487,375,553,649,447,301,273,436,269,250,370
243,165,237,374,293,420,500,274,239,246,319,251,232,272
520,496,407,563,444,601,682,506,334,298,481,322,260,391
263,159,242,389,286,441,539,372,249,243,320,254,237,294
361,349,265,493,353,566,630,447,267,261,439,288,237,335
174,210,244,382,299,457,567,370,259,235,318,281,236,269
199,84,235,319,245,361,509,274,236,244,287,241,240,253
279,247,388,443,423,506,597,401,290,271,376,259,244,298
171,263,290,282,324,418,538,388,271,248,307,252,241,281
342,340,426,450,447,514,602,374,300,288,376,285,259,322
412,375,432,533,415,593,658,450,327,296,462,290,253,370
202,243,251,312,328,426,592,388,290,265,319,260,247,320
222,125,235,359,264,409,498,325,248,237,321,253,234,272
184,128,235,304,275,365,431,233,232,231,294,235,230,274
261,243,239,398,268,453,533,320,240,239,335,253,231,292
206,95,234,338,262,394,532,281,236,237,282,239,232,229
253,206,242,401,312,461,547,325,254,264,331,242,235,288
276,197,251,413,313,481,553,396,262,243,362,263,239,321
193,96,232,328,285,369,322,278,241,231,287,238,230,249
170,76,234,306,225,341,376,263,247,240,275,234,237,243
357,400,369,483,425,559,645,435,330,281,426,264,245,354
278,215,253,406,320,498,600,394,271,257,371,269,238,321
405,510,458,504,470,571,650,470,353,306,444,313,259,371
193,64,232,290,224,316,444,249,236,246,269,242,229,254
435,621,344,559,412,612,680,477,311,273,496,316,254,382
402,403,373,505,432,574,669,481,312,287,443,277,249,354
415,314,243,466,379,541,621,445,253,241,398,248,234,341
366,260,245,440,282,472,560,372,270,246,334,275,249,289
373,297,353,478,406,558,649,435,298,270,422,279,247,314
362,232,261,459,319,526,591,443,264,252,380,282,238,318
193,102,233,328,227,350,524,263,239,246,285,248,239,253
181,98,229,284,235,344,346,261,230,237,272,248,232,265
401,285,490,468,491,547,626,416,338,285,407,272,267,377
199,116,247,333,277,405,475,373,260,249,303,257,238,303
220,144,240,367,271,421,541,365,251,275,303,271,232,291
202,162,232,306,278,371,450,284,255,240,288,232,234,249
237,252,245,356,315,433,559,347,263,253,322,266,230,298
190,306,246,344,339,435,576,360,247,255,336,264,237,285
153,72,236,273,268,313,340,233,240,233,244,247,231,247
159,95,235,306,252,348,383,299,248,244,270,247,239,262
213,102,239,336,295,400,415,271,250,241,296,231,225,254
179,111,233,293,233,313,332,330,245,233,267,241,232,239
158,113,230,279,221,327,441,283,233,240,269,232,225,242
146,286,255,363,318,449,543,376,257,262,313,277,235,293
536,606,515,539,537,611,695,528,390,319,481,306,278,416
145,205,245,347,308,416,517,374,253,253,322,246,233,291
337,339,510,499,525,580,668,467,380,316,444,283,279,391
327,237,389,473,418,540,608,451,309,278,419,260,256,307
182,83,240,276,234,323,431,275,248,240,272,238,232,245
248,91,235,302,271,389,465,327,241,225,280,247,231,260
437,384,350,530,441,594,644,507,323,278,463,293,261,342
334,242,275,417,351,588,649,437,282,255,451,261,239,294
210,62,233,289,296,328,455,264,249,224,287,242,236,236
458,316,440,513,464,578,634,460,334,291,452,308,250,323
161,107,240,315,255,350,446,266,233,235,270,232,233,288
155,209,231,312,288,375,488,317,243,238,282,238,236,258
204,93,231,293,290,363,414,249,244,231,283,244,233,270
162,103,232,271,238,292,266,237,240,240,256,233,232,219
357,276,325,429,370,529,594,449,285,261,408,263,247,328
217,162,241,364,319,444,524,360,264,248,332,254,232,271
409,268,235,435,293,488,570,397,251,240,355,268,238,309
230,126,236,352,322,407,525,222,247,219,297,230,229,263
193,85,231,320,244,341,407,279,241,235,274,247,231,278
160,172,238,321,300,365,512,352,238,239,296,245,233,261
209,60,234,284,265,356,399,256,240,221,272,239,232,262
271,205,241,398,240,442,496,336,261,246,327,258,241,271
220,207,247,360,340,461,531,335,259,244,335,242,235,278
220,227,236,370,246,425,477,294,250,229,295,236,230,249
508,363,414,518,449,592,653,475,325,288,475,289,258,363
298,338,499,473,477,533,613,460,356,294,411,264,258,346
200,95,230,313,284,368,467,309,240,230,278,242,237,238
180,77,242,303,218,394,380,242,243,240,283,250,236,251
230,65,229,310,239,386,511,248,247,238,285,239,226,245
262,175,231,364,290,419,576,299,252,239,299,255,237,237
149,81,241,301,219,364,352,322,236,239,283,234,234,274
167,244,253,411,429,537,665,531,325,291,420,297,254,421
283,246,249,443,314,515,594,452,266,240,375,257,239,293
167,71,266,311,280,352,291,308,242,241,266,246,242,271
473,377,513,518,510,597,684,470,383,309,473,290,268,387
385,387,349,497,402,561,637,448,306,253,435,283,243,334
209,247,235,370,300,437,542,329,244,277,316,257,235,260
498,572,329,527,437,607,696,509,324,283,488,303,253,352
390,283,368,465,407,547,629,435,294,281,413,271,245,307
158,69,235,284,303,335,357,256,228,225,251,229,230,231
214,129,238,345,249,399,443,284,243,237,294,235,232,256
431,393,246,460,269,516,602,411,273,239,381,284,235,282
212,103,237,316,226,383,395,261,234,248,293,241,232,254
220,264,236,375,308,440,554,359,257,246,337,267,234,333
173,91,232,303,247,357,445,302,242,229,276,250,235,267
211,107,235,321,301,380,428,291,250,244,292,248,234,294
125,75,235,283,241,351,457,285,246,228,286,238,234,288
149,288,244,353,306,444,542,402,257,249,329,265,240,273
198,213,263,365,378,491,651,486,300,275,390,287,244,362
177,68,234,287,233,324,333,308,230,237,277,244,226,278
171,76,233,311,272,345,403,312,244,240,271,245,230,259
168,96,237,329,240,375,410,302,231,244,285,247,237,296
128,130,241,293,255,338,413,291,248,237,289,234,235,255
195,71,229,288,247,333,373,252,249,220,275,239,236,248
209,114,233,322,250,373,427,310,245,239,282,243,228,233
87,120,269,252,427,395,608,523,357,364,363,294,273,472
186,373,243,351,345,442,549,421,263,246,336,246,241,328
220,274,389,416,375,491,614,424,299,277,379,288,247,339
142,265,245,375,322,433,523,385,267,255,318,250,236,315
159,167,241,347,324,400,552,398,273,256,330,241,242,306
170,94,238,290,284,338,415,295,238,229,277,255,232,230
187,104,238,307,243,335,502,291,242,246,275,256,238,219
161,154,235,298,240,332,380,211,255,236,276,228,229,242
189,113,236,317,290,360,489,260,252,237,285,248,231,244
169,84,234,306,249,357,422,266,247,232,284,240,232,241
441,386,254,519,347,599,671,461,289,261,475,292,236,382
180,91,236,321,288,328,352,265,241,250,288,234,232,249
431,388,262,471,374,548,644,454,287,272,427,301,240,347
360,321,388,476,429,544,627,435,310,276,407,269,244,352
421,380,255,518,348,619,673,492,293,273,497,311,255,378
87,229,239,670,462,707,759,555,336,279,409,274,245,379
162,141,236,295,260,320,442,223,237,243,256,234,234,241
407,280,424,467,451,553,616,418,338,297,419,282,251,346
160,193,241,330,272,391,548,292,259,251,303,240,233,259
193,106,236,293,256,374,353,266,246,229,276,258,231,247
204,92,234,282,270,344,426,295,245,240,276,239,232,252
224,360,371,397,445,484,592,414,292,280,366,263,245,357
252,142,259,352,372,448,608,443,295,296,343,270,248,364
141,155,236,307,278,349,508,330,240,237,263,241,234,258
384,289,481,478,473,571,650,466,352,303,442,286,261,368
