"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
440,479,271,542,628,582,668,471,304,276,453,294,246,340
151,128,232,293,232,337,388,265,257,242,274,242,235,262
205,298,262,415,561,418,564,383,272,254,325,270,235,301
459,352,264,476,581,546,616,421,281,273,414,262,245,319
336,430,288,500,652,542,627,417,293,289,423,283,240,358
291,243,272,444,624,498,600,363,283,257,391,267,234,307
210,123,246,361,495,399,527,320,251,244,307,237,234,277
355,403,255,491,546,556,637,411,271,267,426,290,238,319
180,281,248,384,428,400,522,337,259,252,316,249,236,288
489,393,269,529,612,586,654,482,281,286,460,285,244,365
261,179,242,349,326,447,543,308,250,255,302,250,231,289
195,91,239,303,246,349,379,245,245,236,265,226,233,255
141,86,231,259,281,294,332,294,233,234,239,250,233,238
183,193,246,378,473,416,495,380,263,257,317,254,235,302
178,122,242,337,350,351,335,266,237,239,264,243,237,278
135,212,247,357,419,393,519,348,260,239,302,268,236,276
183,317,245,400,353,449,551,391,246,248,324,249,233,304
218,122,238,322,303,342,450,311,232,230,283,251,232,276
366,355,259,494,537,538,648,450,283,266,410,299,242,333
178,86,234,297,227,292,288,309,232,240,280,238,230,270
150,62,237,289,311,303,331,262,241,239,256,241,233,246
202,53,239,308,291,373,459,312,238,244,276,234,233,227
328,269,248,437,439,522,611,377,264,264,396,279,233,299
289,264,274,499,660,545,623,410,285,277,413,270,239,368
161,61,232,276,325,329,498,245,233,226,271,232,235,250
351,345,270,457,517,506,618,407,270,261,386,277,236,363
198,300,245,406,439,466,530,365,249,242,336,264,238,272
134,131,235,356,267,422,498,304,256,251,314,255,236,274
155,79,254,309,478,332,422,266,234,246,264,240,234,255
166,147,239,348,324,371,481,305,242,250,289,236,235,283
188,112,238,316,336,367,456,322,263,243,298,252,238,290
211,183,244,339,323,418,531,309,231,242,309,262,233,280
143,116,238,290,254,306,311,276,236,239,259,242,228,262
224,149,240,332,324,414,482,297,256,240,308,255,235,293
179,110,240,320,315,353,456,300,246,239,283,244,239,247
144,136,235,295,324,332,438,285,241,237,267,245,230,261
319,316,273,486,610,550,627,427,310,274,411,275,242,349
286,306,263,476,530,548,586,440,286,268,402,274,238,310
197,100,235,333,242,369,494,315,234,237,293,247,231,247
171,144,243,312,551,359,507,299,257,238,284,245,236,236
306,203,259,463,561,531,590,420,275,249,395,277,233,288
176,217,244,335,358,379,469,336,256,238,284,244,240,338
369,326,364,522,775,551,634,445,338,313,421,284,258,367
491,503,279,570,570,627,687,485,305,275,490,307,245,388
166,169,235,310,278,336,415,272,251,248,294,242,230,273
185,181,242,320,286,358,401,267,239,237,274,232,228,262
198,317,251,417,437,454,562,396,268,254,329,259,237,323
159,98,235,308,296,327,279,256,242,238,269,230,229,265
190,113,236,318,340,368,467,275,247,251,299,239,233,279
263,235,255,372,570,418,526,302,252,248,324,244,237,284
222,79,244,325,386,390,529,336,241,248,298,256,234,272
484,596,266,533,591,592,657,483,297,294,469,307,239,362
169,64,236,278,278,308,310,264,240,241,262,230,234,252
164,191,244,331,390,385,542,315,254,244,301,261,236,278
206,78,232,302,270,349,387,259,245,240,278,235,237,239
175,84,234,317,260,345,453,242,239,252,258,238,229,262
401,332,266,487,529,546,628,461,266,264,398,268,238,344
373,317,293,495,679,550,633,414,288,284,427,268,238,342
209,114,236,312,287,361,448,301,240,229,290,227,229,244
203,123,257,342,539,388,450,318,256,251,288,250,235,239
269,402,326,543,728,568,655,419,314,310,445,276,250,346
165,60,234,286,257,286,206,282,231,233,255,243,234,227
199,134,239,340,337,396,534,297,248,238,308,239,230,324
314,228,279,438,687,463,551,362,281,271,343,268,239,306
213,133,248,347,536,399,471,380,253,255,317,252,233,265
198,200,339,476,732,485,574,344,301,302,380,257,244,329
318,208,261,460,545,542,623,448,279,265,411,279,238,315
203,117,233,296,314,329,487,288,241,240,276,254,229,257
345,201,249,466,365,523,621,396,253,256,372,263,238,297
149,84,254,338,593,372,376,324,242,247,278,239,229,250
371,241,267,484,543,549,634,395,281,276,411,257,242,334
217,110,238,316,426,375,437,297,241,242,280,260,236,250
333,264,284,485,646,524,612,433,291,273,410,275,243,350
240,129,260,385,588,400,492,313,265,244,303,240,233,292
183,135,238,308,328,348,446,258,248,233,273,240,232,254
497,342,293,526,667,565,658,451,306,278,445,272,247,386
412,298,275,522,640,572,637,435,287,270,419,283,237,332
502,450,299,523,685,579,660,457,303,293,437,292,239,373
291,206,286,467,650,501,602,390,287,281,382,256,239,353
371,365,328,516,735,547,629,440,308,307,409,268,245,385
214,85,234,290,277,346,377,272,240,233,278,236,231,275
206,148,237,360,401,388,471,301,247,255,299,253,236,272
212,112,234,314,300,393,478,321,244,234,281,245,230,245
248,171,237,403,320,448,550,316,247,235,319,247,232,252
304,197,268,406,602,484,559,316,262,266,348,274,237,283
296,237,357,483,745,507,585,404,299,301,375,257,254,349
177,100,268,332,636,333,421,232,265,249,267,217,233,271
131,135,244,271,425,332,463,361,255,272,269,250,243,268
239,145,241,343,366,427,491,304,242,251,308,260,232,260
169,332,275,479,560,455,564,385,279,266,323,304,243,296
441,287,284,492,684,535,605,400,302,287,412,280,242,351
211,105,248,333,451,362,447,295,259,242,280,240,237,272
149,121,242,314,334,328,381,290,244,240,265,243,235,259
219,194,248,398,394,459,570,377,258,252,333,265,238,287
223,143,238,346,290,395,393,301,252,244,294,241,231,252
471,584,344,576,755,626,732,556,390,369,507,389,268,496
536,298,307,526,687,580,673,431,306,290,453,292,245,358
161,339,250,393,477,443,566,311,262,262,307,272,237,297
178,134,238,345,357,389,507,368,246,253,305,246,233,275
479,350,392,563,807,573,661,491,343,353,444,292,252,409
406,245,261,468,582,533,615,400,268,265,385,263,237,309
217,101,243,336,366,373,525,421,249,258,291,254,241,299
148,80,231,276,299,282,309,254,232,227,238,224,226,240
151,93,236,277,366,287,371,298,230,232,253,236,228,228
197,78,236,285,201,336,473,285,246,229,274,235,232,248
179,122,243,329,311,331,441,305,242,235,277,255,232,270
316,392,264,459,524,519,643,439,283,279,393,274,241,333
237,247,258,417,454,460,550,339,257,247,339,273,232,328
158,109,241,323,325,365,499,352,247,251,292,244,237,283
309,387,263,478,518,554,642,433,283,263,420,292,243,319
338,524,295,507,630,565,663,499,323,323,435,314,249,447
218,212,233,358,349,404,539,325,250,233,289,258,234,299
215,66,237,291,316,345,475,328,238,241,277,234,234,249
527,418,290,577,640,625,697,517,305,294,491,318,242,425
202,317,256,409,523,431,556,395,259,262,315,241,235,303
183,81,233,306,308,364,377,220,239,236,286,249,236,254
203,82,233,310,294,349,503,289,241,247,267,239,227,267
312,280,304,484,682,522,594,424,291,281,389,267,243,369
173,116,259,346,630,350,427,284,263,257,276,251,240,270
292,311,308,498,697,548,633,461,305,277,434,287,244,336
460,345,306,515,703,559,633,461,293,285,431,294,245,350
251,193,232,359,299,414,482,305,245,246,309,254,230,258
250,246,242,400,396,435,519,386,262,247,325,250,232,284
393,378,350,545,772,570,660,462,328,324,436,268,246,392
411,342,278,503,653,565,646,457,295,261,441,284,244,338
153,351,253,389,452,455,593,386,280,266,343,271,241,310
301,265,266,457,600,530,610,426,270,270,386,285,240,310
192,77,235,297,275,321,339,275,242,236,264,239,240,273
452,410,296,539,661,581,666,460,312,286,455,302,246,378
190,285,256,401,566,427,567,371,263,244,327,266,235,298
210,90,232,294,296,349,501,306,239,241,278,243,234,240
203,198,247,420,316,477,555,340,266,239,349,260,232,288
468,359,263,539,577,580,670,449,295,272,465,288,241,292
145,236,249,378,433,396,531,307,270,248,299,251,235,291
190,101,236,296,241,343,485,283,246,244,286,236,228,236
122,179,236,336,321,377,448,326,243,240,284,255,236,254
394,386,291,522,684,568,642,451,304,284,449,273,240,346
353,243,471,561,861,538,628,407,400,402,414,281,270,436
463,355,277,511,641,570,646,439,296,285,435,277,243,363
317,213,239,407,327,492,600,337,266,249,382,262,240,313
149,63,236,281,263,262,379,264,241,236,259,245,240,242
188,114,235,294,372,333,389,328,243,237,276,265,232,277
379,217,262,460,599,528,613,410,276,261,411,274,241,296
340,207,367,474,767,511,561,420,316,325,383,258,243,335
369,317,261,483,583,539,631,439,274,269,412,282,248,362
207,84,232,306,272,357,452,325,244,238,284,237,235,232
170,121,237,343,277,362,437,306,233,246,285,244,237,245
222,98,237,315,252,369,468,323,243,245,292,243,234,256
427,535,294,534,655,576,662,424,298,288,439,273,241,352
203,64,247,307,511,348,415,261,246,245,272,241,239,239
319,309,254,464,451,508,613,408,280,255,392,279,239,304
399,336,284,466,670,578,640,435,299,298,454,283,241,343
210,134,244,336,434,372,460,319,242,240,305,244,236,283
174,198,236,365,351,394,480,361,259,247,317,266,234,276
349,296,257,487,487,540,618,420,279,263,405,281,246,318
137,144,242,342,371,388,420,305,257,252,289,247,235,275
160,161,234,356,301,415,492,361,243,237,307,244,242,261
292,249,242,406,298,454,550,392,264,242,349,250,235,260
154,102,240,301,305,341,496,265,245,242,269,240,240,297
331,438,281,497,607,553,617,428,281,280,413,281,240,374
334,420,260,482,588,543,629,449,267,282,419,275,242,329
161,103,237,293,265,323,430,298,240,238,256,228,235,266
239,209,243,375,378,463,576,401,270,253,351,258,231,323
438,319,294,503,671,577,660,468,286,283,449,297,238,335
412,222,243,456,327,561,634,452,281,265,419,289,237,368
485,380,286,559,592,593,672,482,293,277,460,282,248,388
158,81,233,276,291,298,370,261,232,220,258,225,229,240
148,109,239,326,466,350,503,339,258,241,276,243,232,258
199,110,235,276,277,362,428,266,248,233,277,252,233,274
457,383,378,542,781,579,674,450,351,322,451,288,248,391
151,96,249,326,500,387,422,330,248,241,294,245,235,277
182,112,252,337,557,327,373,324,241,256,275,243,237,258
119,130,255,291,436,441,619,505,338,338,338,277,255,443
396,305,286,491,631,537,615,421,270,277,410,272,234,315
518,376,281,543,608,596,682,473,303,277,480,302,236,388
309,203,242,383,337,464,576,373,252,244,350,261,231,299
231,237,251,391,446,433,553,365,261,238,343,266,233,265
260,504,275,491,594,535,630,463,299,280,395,279,243,322
216,136,235,320,346,353,405,312,241,248,283,239,230,255
235,73,232,327,198,370,461,246,234,230,284,254,229,256
238,253,241,367,368,435,500,281,256,241,315,256,236,286
212,96,239,325,329,376,353,290,240,250,312,251,235,266
145,104,236,275,298,308,279,282,233,235,262,243,231,251
166,164,237,327,311,361,468,335,235,223,284,226,230,275
123,105,241,289,321,322,412,308,233,248,267,230,234,247
254,119,300,401,689,419,513,334,277,268,297,251,240,270
587,452,297,547,697,605,675,482,315,302,471,306,239,385
239,140,250,364,483,431,506,367,251,251,332,249,240,270
322,239,334,489,751,528,611,402,295,304,398,269,249,314
184,82,240,323,517,311,347,286,250,235,263,250,235,256
196,114,241,322,284,367,453,252,248,253,280,248,235,258
221,136,241,360,294,416,452,333,258,227,307,246,231,244
228,274,257,414,456,469,584,410,280,271,359,273,243,339
201,187,249,341,412,389,492,301,255,245,299,258,241,248
310,334,294,468,698,536,631,460,287,306,399,280,242,365
246,168,237,389,280,425,554,275,239,251,321,265,232,273
236,145,236,393,304,442,474,321,244,243,329,256,231,271
460,271,246,485,349,553,633,399,279,238,428,289,233,335
189,78,236,310,263,332,478,270,247,241,281,235,231,271
164,311,275,435,541,458,597,417,268,260,335,265,237,331
327,306,379,547,763,543,639,401,311,333,421,283,243,371
357,267,286,484,647,531,596,427,282,287,403,266,244,309
203,126,240,348,342,367,439,284,247,252,284,261,236,256
256,183,235,384,406,455,551,344,257,252,327,252,239,310
201,127,235,332,248,380,437,315,249,232,284,234,233,243
171,84,231,287,288,349,469,268,240,246,283,241,232,250
198,81,236,306,307,327,484,286,247,242,282,250,235,268
192,84,239,301,347,374,443,323,232,245,280,242,231,257
205,86,242,311,483,376,449,252,241,244,284,247,230,277
164,77,239,304,324,304,430,268,238,235,263,241,227,243
198,97,238,310,301,341,306,264,242,232,290,243,239,252
290,305,241,401,412,468,560,367,257,251,365,268,230,305
188,125,232,288,281,343,399,282,238,234,268,239,232,261
396,395,299,537,664,579,676,486,323,313,452,316,250,366
221,137,236,316,266,401,515,320,250,244,321,260,237,281
218,366,255,400,563,438,569,406,274,264,348,265,241,309
404,380,369,570,762,599,690,483,353,337,451,299,249,408
312,115,308,433,715,472,529,351,274,283,338,262,236,329
232,183,247,378,368,414,524,383,254,250,321,260,236,289
159,100,243,316,358,372,526,305,244,246,294,246,232,273
182,236,243,362,461,393,498,296,239,245,297,259,233,280
411,327,303,537,708,576,656,473,298,285,439,300,240,352
194,239,251,406,461,445,559,376,260,253,324,275,243,290
245,113,241,364,343,424,483,314,250,233,301,258,240,258
439,482,284,550,645,603,664,481,302,286,470,297,237,376
151,158,247,342,409,385,436,370,266,251,285,270,238,293
194,113,232,296,250,373,441,284,237,234,284,233,228,251
294,282,277,490,595,512,590,433,280,269,391,254,234,326
335,317,290,493,685,540,627,436,297,275,419,265,242,330
199,92,237,314,326,351,401,322,242,225,262,243,228,234
187,57,236,285,292,307,389,227,237,226,262,245,229,252
431,547,272,513,541,552,645,435,300,277,393,282,237,384
315,186,276,427,636,492,590,373,271,262,382,248,234,288
216,113,236,362,297,398,513,322,246,231,311,248,237,281
227,426,259,459,480,548,656,479,291,273,425,285,248,392
240,154,242,354,321,399,486,320,249,235,301,252,233,304
500,279,249,445,508,500,573,384,270,258,342,265,241,270
88,215,254,362,437,440,581,399,280,253,337,260,234,317
205,438,276,449,598,498,611,400,274,269,353,289,245,348
403,288,269,482,603,556,636,419,285,261,431,263,246,345
203,77,233,303,295,356,433,244,241,230,278,255,233,236
148,132,240,363,341,372,498,248,250,239,288,263,234,259
237,167,238,372,301,430,526,252,254,239,318,254,231,252
208,109,239,328,284,356,390,283,245,240,278,237,237,283
353,242,255,469,592,537,620,423,286,267,403,273,241,325
521,414,381,544,777,568,650,453,330,318,444,283,254,362
515,346,325,564,701,607,696,489,326,296,484,314,243,394
190,106,235,308,370,369,474,297,249,236,286,250,237,252
170,95,232,295,245,336,424,245,238,233,265,250,234,240
164,73,237,296,221,314,349,267,238,227,253,247,232,263
380,362,285,494,652,539,619,440,296,273,405,272,240,345
126,163,241,325,350,340,402,340,229,236,273,241,232,259
244,220,242,386,381,449,476,357,251,256,344,261,233,305
188,78,244,318,414,366,506,353,259,243,303,252,232,264
228,84,242,330,318,360,407,257,248,236,303,241,234,255
293,193,251,425,432,493,552,341,267,249,374,256,238,269
447,390,298,559,648,604,684,482,302,291,470,301,243,378
224,201,249,360,363,407,515,312,249,248,304,263,232,277
116,121,241,288,331,322,470,300,241,242,272,250,230,269
149,74,234,296,277,324,385,276,232,232,264,236,234,240
197,131,231,332,302,398,504,307,246,236,278,245,232,257
263,475,273,478,606,532,619,425,286,266,402,283,238,313
126,99,238,299,287,322,425,289,244,237,248,224,231,289
342,223,331,493,764,537,597,399,306,297,397,263,245,358
140,75,242,295,288,285,270,267,238,230,264,232,235,244
227,448,247,430,533,490,610,423,276,246,361,281,239,384
156,234,259,387,458,374,521,351,259,249,300,249,242,295
211,112,236,335,288,376,403,271,250,238,289,248,229,275
270,281,255,409,469,466,588,424,255,247,357,265,245,320
181,87,236,302,314,337,436,287,232,240,270,236,225,235
213,86,231,307,320,343,409,268,241,243,279,253,235,241
383,406,258,506,515,561,654,466,294,266,427,278,246,324
276,227,241,428,338,473,561,399,252,240,347,276,243,312
217,129,238,335,343,404,485,278,252,240,302,250,231,280
326,253,253,470,419,537,595,410,273,266,417,298,244,327
336,227,414,568,812,554,624,426,345,357,426,282,262,372
184,100,242,308,365,356,409,282,245,247,275,238,235,248
335,272,290,513,676,539,628,430,285,293,409,288,242,336
118,219,245,356,421,431,461,320,266,246,311,253,236,259
170,146,240,306,335,381,518,368,258,258,287,253,231,317
173,60,232,298,248,325,364,250,230,239,268,239,233,247
177,141,242,329,397,383,493,296,255,235,302,250,233,291
474,432,359,575,764,613,690,538,366,374,478,336,250,415
426,308,254,501,537,555,635,419,277,260,419,282,240,352
243,240,241,395,374,416,514,279,251,247,323,256,235,309
282,242,340,483,739,525,612,419,301,298,384,260,241,366
341,247,273,474,627,519,606,372,288,272,392,264,234,326
260,329,266,411,622,458,569,362,263,257,342,266,238,319
549,358,294,540,691,592,664,485,303,290,468,297,238,391
255,126,235,351,312,393,462,305,250,236,294,252,237,270
415,262,255,466,595,545,636,413,286,257,412,281,243,342
477,302,292,546,633,592,660,457,291,280,458,290,249,350
355,333,284,538,561,582,687,524,332,300,450,362,253,387
319,183,240,435,381,480,551,392,262,248,344,250,233,302
168,132,246,299,369,341,481,291,246,242,278,247,230,294
217,201,248,378,477,405,525,339,258,248,314,257,233,274
397,380,244,475,337,519,598,415,270,241,383,277,232,312
241,75,234,309,237,364,503,309,233,234,277,236,242,268
173,86,235,322,370,365,450,300,239,241,278,232,229,252
185,86,235,295,293,337,450,305,237,232,269,239,231,259
120,335,254,439,501,498,630,460,288,274,377,264,244,363
224,392,280,487,642,541,623,408,287,267,406,273,238,336
225,142,244,377,427,428,507,344,262,255,317,255,233,273
419,467,364,578,780,604,686,469,332,331,480,297,251,392
374,231,258,471,502,538,597,444,280,258,406,277,240,326
195,115,234,334,302,340,311,275,246,232,275,239,234,233
200,419,282,475,620,496,580,346,277,279,357,261,246,318
385,368,291,531,618,594,678,511,327,297,470,317,245,394
205,99,257,341,523,398,509,239,265,247,285,246,237,287
233,358,256,446,590,486,589,359,282,260,361,274,237,327
362,417,332,540,716,571,662,448,303,309,443,285,249,359
413,553,315,568,653,592,669,492,330,299,461,303,248,415
178,103,234,298,264,360,437,218,249,244,270,250,235,236
203,109,233,316,276,366,503,268,229,247,291,255,237,259
193,96,256,320,598,336,363,272,254,255,279,249,235,293
474,399,270,332,466,516,676,549,345,312,418,295,269,467
180,70,262,348,584,354,487,267,262,236,272,245,237,242
190,64,235,278,274,338,303,233,236,230,252,226,233,254
197,172,241,352,333,436,478,332,247,243,324,242,238,276
276,198,289,455,706,461,546,385,256,273,339,251,236,326
278,344,306,480,708,492,602,372,292,277,356,262,246,349
300,364,284,492,645,541,644,442,299,287,416,286,243,371
239,371,258,414,456,457,575,369,264,243,342,284,243,302
198,92,232,322,235,364,347,269,233,249,275,259,239,256
409,291,277,488,641,545,631,410,287,277,424,274,242,353
192,103,239,367,316,420,534,306,250,233,307,247,233,261
356,235,294,487,671,529,629,388,280,283,386,266,237,345
196,91,236,314,313,358,451,283,232,243,290,232,232,246
297,215,261,448,576,478,545,355,267,264,350,273,239,309
338,243,319,490,710,527,608,376,289,308,393,271,244,324
215,91,238,317,272,358,478,339,239,236,281,238,230,269
266,162,277,422,637,449,565,323,270,254,343,268,239,284
190,181,265,403,519,458,560,359,264,254,355,269,238,311
460,298,270,497,545,575,665,482,291,253,440,281,233,355
186,120,238,331,304,346,413,284,247,248,286,245,232,232
216,154,242,394,329,451,569,374,262,239,338,249,238,291
334,252,244,426,339,518,606,404,268,255,392,264,239,300
213,129,238,307,359,359,458,310,245,237,292,256,232,263
170,76,236,286,295,324,407,308,225,233,265,245,233,266
191,105,244,312,370,360,421,244,234,234,277,232,236,291
212,88,237,307,249,377,484,308,244,234,294,251,232,254
339,199,236,414,290,462,553,369,248,232,334,255,236,286
298,315,255,446,515,499,573,360,261,255,347,251,233,312
163,253,245,334,433,403,553,332,251,252,306,253,232,283
217,83,236,309,288,361,362,335,240,226,291,232,231,249
318,628,303,539,602,545,631,463,319,275,405,309,252,375
352,419,282,516,640,550,630,423,285,284,415,293,239,359
184,138,248,331,462,414,604,487,300,301,336,265,245,362
223,116,237,338,298,346,470,229,237,247,274,248,227,256
249,160,238,362,274,440,548,385,249,253,323,247,233,274
163,126,235,313,266,333,356,314,236,231,282,244,236,244
280,193,243,363,375,407,510,391,251,233,308,246,230,269
164,110,235,289,242,361,460,307,251,224,275,236,228,240
238,360,253,420,428,471,580,388,271,259,334,265,243,289
228,324,255,438,423,493,588,395,268,252,392,269,237,292
152,172,239,357,339,397,458,305,252,245,289,247,235,281
205,124,238,346,295,384,487,275,245,255,309,266,234,290
390,345,274,517,562,577,655,433,295,272,442,289,249,343
362,408,267,484,592,538,628,450,281,263,399,297,234,318
223,74,258,332,619,361,479,291,250,264,280,241,234,239
135,67,234,273,339,311,398,251,226,240,255,239,237,236
471,425,255,507,510,579,642,476,273,266,441,295,233,318
227,408,251,466,455,525,626,472,298,273,415,304,242,340
376,393,296,558,672,593,681,477,328,299,481,300,253,379
182,100,236,319,338,364,482,341,254,234,293,244,234,275
358,291,268,510,594,571,664,471,296,276,430,309,239,366
562,555,313,553,710,609,679,471,332,296,469,280,245,414
137,274,243,355,484,414,530,345,253,257,315,268,234,318
171,417,265,433,537,472,609,364,285,264,337,257,244,322
