"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
298,222,237,848,307,503,591,393,262,232,368,250,239,323
168,71,235,755,241,341,477,239,241,236,253,252,235,250
362,475,243,609,267,381,523,373,253,277,332,448,271,257
201,227,241,524,362,519,627,429,266,258,395,264,230,299
179,99,230,767,214,333,399,335,241,241,271,255,239,262
166,118,227,350,234,326,438,264,241,248,258,247,238,270
160,93,236,338,237,335,396,305,236,232,263,228,235,255
359,507,248,580,347,503,622,476,273,280,353,372,270,284
345,327,245,594,329,546,635,436,265,264,409,302,240,330
286,437,250,719,366,523,649,480,280,272,390,279,245,349
200,255,242,811,355,533,654,454,270,256,334,262,238,278
489,473,251,712,392,650,731,546,304,268,498,313,239,390
424,359,242,538,349,598,686,479,294,263,437,285,246,332
207,73,236,326,289,478,603,389,229,242,280,239,232,248
107,224,237,826,314,482,632,406,264,239,304,262,236,285
453,392,245,598,391,613,719,533,305,270,448,304,239,326
210,277,249,815,380,557,674,477,272,262,396,264,242,377
330,415,257,569,386,584,695,502,285,268,439,299,245,366
175,85,235,765,249,407,569,361,250,227,277,252,231,239
315,247,238,586,288,550,651,423,271,241,382,273,234,309
185,112,244,462,279,427,564,384,271,276,306,254,243,328
204,121,235,418,270,418,509,281,251,239,300,250,233,240
203,202,240,547,224,454,528,339,250,231,324,263,232,274
173,60,231,809,268,296,416,263,247,225,261,242,227,272
149,81,237,682,254,297,232,253,245,231,245,234,235,245
214,79,231,331,258,357,390,272,247,244,280,245,232,256
202,390,249,641,357,508,589,414,279,257,350,277,238,334
135,95,235,747,254,292,522,288,236,229,253,245,230,249
130,73,237,793,263,316,275,273,238,231,258,249,236,268
235,205,234,807,314,441,554,345,265,252,328,243,242,332
141,218,244,549,305,412,584,421,268,264,325,256,244,332
188,210,235,602,281,440,537,398,241,247,330,256,236,294
328,233,240,527,311,540,624,464,274,249,404,272,233,335
186,165,233,867,283,376,478,280,256,238,284,250,230,242
281,128,233,867,315,422,504,371,249,244,319,269,233,284
200,67,230,804,251,370,489,317,241,233,254,243,235,243
150,72,234,787,293,309,415,208,241,240,262,249,236,237
203,89,227,835,304,348,467,247,246,229,275,241,230,219
210,202,242,578,348,472,599,431,284,279,388,257,238,359
194,164,234,760,311,410,543,312,258,252,295,253,238,252
159,70,234,303,289,327,300,314,229,234,263,229,232,253
162,109,235,317,250,373,429,295,237,242,279,236,232,272
145,109,236,710,247,318,412,232,237,237,257,246,230,229
372,313,242,604,359,575,665,479,287,266,440,292,237,323
515,452,248,683,380,590,664,458,298,252,456,289,248,380
193,114,229,315,253,345,508,292,228,232,291,249,232,263
127,64,232,757,258,310,358,258,228,233,245,241,235,241
142,118,233,821,219,396,430,274,241,239,284,232,238,269
167,72,232,462,282,351,411,305,239,231,271,229,229,254
151,80,236,749,275,348,480,299,238,232,264,248,233,233
183,144,235,355,225,382,501,317,247,236,285,246,228,248
