"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
337,245,242,458,390,561,649,462,312,252,388,269,234,307
378,334,325,495,596,603,693,573,613,524,448,282,239,459
213,340,331,416,598,544,641,559,583,500,365,262,243,432
186,246,279,422,498,508,604,462,491,407,327,258,242,329
395,382,338,499,586,605,686,565,618,523,450,290,247,472
537,814,407,602,696,751,874,749,675,600,628,473,360,640
122,218,251,352,386,480,591,433,332,264,304,263,243,300
213,124,235,353,331,477,602,393,254,246,296,252,235,298
373,332,325,493,590,597,671,573,617,527,432,278,240,428
153,154,253,384,381,540,660,524,330,317,383,311,253,394
183,94,238,321,267,445,559,322,250,252,276,238,234,255
127,80,232,265,271,389,497,291,234,243,257,228,227,234
155,73,235,295,297,400,541,267,242,239,289,231,238,262
167,255,256,385,455,470,576,426,417,332,314,253,230,295
157,99,235,282,281,364,436,330,253,241,254,227,228,256
271,256,290,412,543,527,644,512,540,437,377,266,235,421
201,247,243,393,329,506,622,477,283,279,372,267,237,339
291,197,282,467,461,510,620,480,505,419,364,295,245,361
142,188,250,316,390,386,502,407,334,291,303,247,237,312
237,194,245,417,310,431,529,361,269,258,331,266,234,276
161,70,236,287,276,324,266,262,252,246,265,233,232,266
146,116,238,340,229,390,376,305,268,264,277,249,235,248
309,274,313,428,554,495,592,508,576,495,349,264,232,375
202,231,248,429,363,482,608,469,337,284,359,253,243,353
163,108,229,305,223,347,453,351,276,252,269,237,229,267
262,177,278,424,491,490,580,462,498,404,335,254,237,316
218,112,245,314,318,406,516,326,348,295,313,261,234,271
285,256,242,445,340,495,556,386,271,290,361,269,240,323
285,151,257,394,368,483,570,452,447,348,351,254,236,303
435,327,330,499,597,568,644,546,618,525,439,282,252,447
267,259,259,396,446,470,532,423,447,353,350,249,234,309
166,101,235,318,255,354,490,290,238,240,275,256,232,265
345,437,304,440,543,534,629,538,556,469,400,289,245,400
202,130,248,319,379,395,496,336,351,301,301,257,236,295
264,364,480,483,696,568,654,643,742,667,424,274,256,531
243,199,244,399,330,466,573,358,284,255,329,246,237,303
147,118,240,330,298,343,385,321,264,265,280,256,231,247
323,299,383,484,610,555,627,580,654,582,412,284,252,424
156,114,242,281,265,340,505,348,274,259,297,252,237,282
235,210,256,355,410,447,548,384,349,304,337,275,237,301
182,456,306,392,548,490,585,523,566,484,341,293,238,379
280,200,243,323,317,401,505,310,258,239,298,243,232,262
284,169,254,386,388,481,544,419,347,303,373,267,241,321
401,438,396,489,660,572,657,618,688,608,440,299,249,479
151,215,276,344,443,408,529,357,386,301,306,281,245,326
158,53,236,292,274,360,403,248,243,241,270,241,234,267
146,89,242,302,287,353,394,276,243,235,273,254,234,264
200,96,237,316,276,380,438,286,255,265,294,250,236,261
300,263,380,457,632,535,629,575,636,556,394,296,245,428
148,94,235,307,250,313,402,296,286,247,266,245,230,249
120,110,246,329,318,331,381,271,299,266,275,237,234,250
208,130,247,314,317,391,459,302,337,277,300,248,236,260
196,152,237,359,281,415,465,337,266,245,294,257,239,230
328,382,373,497,649,590,656,585,661,578,446,309,252,469
162,105,240,330,252,377,323,315,259,242,266,246,229,261
204,146,239,313,329,369,508,284,254,260,264,251,229,269
236,101,244,437,323,496,579,386,278,250,343,276,235,298
161,115,245,322,354,397,482,338,282,260,291,229,236,261
185,89,243,313,295,352,415,341,270,242,276,266,239,264
235,443,248,453,439,560,655,504,310,280,428,304,241,359
170,76,240,293,288,359,390,366,242,245,279,227,230,264
195,115,238,340,262,370,490,303,247,239,289,261,235,269
349,229,320,476,574,560,639,545,598,509,421,281,243,427
172,193,252,311,418,370,484,335,383,324,302,228,240,295
183,100,237,306,227,395,466,244,268,237,290,251,234,288
166,82,242,319,303,366,499,303,252,242,269,253,234,238
193,68,240,300,277,363,391,252,255,256,283,244,234,268
135,123,242,284,339,321,453,315,291,257,263,229,241,290
179,77,239,300,242,341,433,290,254,255,271,244,233,233
90,136,241,325,366,356,480,331,309,270,283,245,234,256
402,295,360,478,641,565,643,590,654,567,427,295,247,420
192,66,234,297,303,375,442,284,263,259,285,271,235,269
171,78,233,312,298,365,448,311,248,254,281,233,230,247
261,335,357,494,607,559,646,561,609,530,424,294,248,393
182,102,235,319,293,325,423,241,268,265,271,236,228,243
218,198,252,368,426,458,591,434,410,342,341,261,234,343
190,122,253,337,333,415,492,381,294,284,299,264,233,283
166,101,231,289,282,304,395,293,245,244,269,238,235,264
213,98,235,371,269,420,497,333,253,249,289,258,233,277
198,280,264,399,491,494,602,455,401,314,371,267,246,388
180,137,238,383,306,414,471,327,270,254,305,254,229,260
249,335,304,460,558,543,633,509,526,439,386,292,241,404
178,92,233,354,269,391,430,369,237,241,291,247,233,245
184,140,226,334,236,388,523,318,259,257,288,236,234,273
204,116,245,339,302,405,510,337,262,238,295,239,232,259
186,68,231,294,261,332,440,299,243,223,277,233,230,228
318,318,339,512,594,561,631,538,608,516,421,279,251,443
170,152,264,304,479,391,494,422,369,302,286,253,233,290
297,130,299,417,508,495,545,484,541,449,379,272,238,388
154,109,234,301,362,380,528,354,304,259,279,275,236,262
183,153,236,357,299,381,520,380,246,241,300,249,238,304
359,505,234,608,320,405,559,335,267,283,355,415,269,292
237,536,240,582,301,130,162,305,236,266,348,261,235,316
294,253,426,489,636,576,676,618,690,613,408,301,257,478
367,314,323,500,596,560,644,568,600,511,444,290,240,417
161,88,235,300,288,373,464,344,261,241,272,241,236,257
330,661,346,541,592,611,699,582,576,487,448,340,249,444
375,410,467,551,708,628,714,657,727,651,473,311,255,538
359,335,310,502,562,588,697,554,562,471,424,278,246,387
167,388,263,416,441,548,647,498,412,326,361,279,245,313
221,196,249,347,427,511,611,446,365,283,330,257,235,272
494,368,252,487,414,572,669,513,336,285,382,287,239,293
413,402,375,507,654,611,691,615,666,583,460,306,250,490
