"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
171,129,236,300,243,374,444,301,244,240,292,247,233,291
174,84,232,315,258,383,506,332,245,244,285,247,237,237
147,84,237,282,284,317,439,264,251,245,263,244,236,230
360,368,265,473,416,609,708,550,324,309,452,331,247,431
258,352,389,500,497,591,698,502,366,318,442,305,266,445
153,164,273,398,511,549,704,596,415,374,437,311,277,485
168,89,237,306,275,367,531,323,246,239,287,263,234,254
189,73,242,319,286,360,442,329,237,230,275,260,235,263
163,115,235,307,232,346,459,268,254,233,268,224,230,251
173,94,235,340,207,353,404,304,252,239,276,242,234,262
211,151,236,350,308,452,548,374,261,246,324,247,226,274
186,159,237,331,309,399,448,327,254,245,297,235,234,254
241,276,290,412,330,470,555,383,266,265,351,256,239,316
316,364,515,483,531,531,632,439,380,311,407,280,271,349
320,403,341,514,437,585,658,474,314,283,444,301,253,386
266,160,241,362,294,452,505,348,249,238,306,254,233,257
160,195,242,351,292,431,536,349,260,244,306,247,238,278
281,467,344,531,458,603,667,491,302,281,478,316,250,370
245,238,250,418,284,490,589,373,250,249,369,267,239,291
470,721,346,535,445,593,687,529,320,261,461,319,256,381
176,136,237,303,230,369,471,331,233,232,299,242,234,271
141,323,245,387,388,481,621,403,268,264,362,271,246,331
376,349,263,471,335,559,641,416,284,266,425,270,245,344
201,208,238,349,305,443,511,345,252,257,327,261,234,279
137,100,238,290,252,331,419,253,247,231,273,242,229,253
154,86,234,296,273,332,402,258,251,226,271,242,231,264
249,217,383,464,417,526,601,405,304,269,406,265,248,310
171,205,229,346,246,373,474,368,245,251,300,257,237,280
203,194,240,360,335,409,532,301,249,237,297,255,237,253
397,263,294,497,366,567,644,449,295,257,436,283,245,306
377,284,251,438,324,535,632,461,288,255,415,290,248,350
393,278,245,445,335,551,629,423,276,257,424,281,246,346
204,113,238,379,275,435,552,318,241,241,317,252,230,269
179,82,239,310,284,353,391,285,242,249,266,256,240,248
167,85,235,305,313,344,427,300,247,242,285,238,232,260
408,556,393,528,463,606,682,464,339,301,481,294,252,320
181,82,235,341,268,376,476,300,236,251,282,230,233,279
184,103,234,306,259,341,469,248,250,236,286,236,234,249
377,385,383,506,440,550,658,437,303,283,406,270,258,309
131,132,246,354,335,413,546,375,266,235,314,268,248,284
196,92,238,295,253,342,427,316,246,236,275,240,233,258
493,433,307,538,399,611,685,492,333,280,480,320,245,362
251,126,238,340,268,445,559,335,259,250,322,248,233,280
191,128,235,332,269,377,482,238,240,260,289,246,231,258
178,142,295,348,337,365,478,295,259,251,285,247,236,293
185,92,241,329,262,402,505,368,240,234,279,230,234,262
317,291,287,464,391,575,661,448,287,269,441,279,249,370
207,167,258,336,435,450,617,505,331,312,350,255,251,437
129,78,235,307,234,290,437,355,244,223,256,238,227,237
424,209,243,417,274,483,582,408,255,245,343,255,241,313
202,96,236,303,276,389,477,313,241,245,297,248,241,274
265,351,293,518,344,583,657,459,282,277,435,296,242,356
134,90,245,281,315,340,431,311,245,231,272,234,230,238
360,512,321,530,443,598,682,513,317,291,467,334,251,397
160,81,233,292,237,356,414,303,235,237,259,246,235,261
149,127,232,319,244,364,441,288,229,230,281,252,229,274
136,78,236,273,302,310,435,273,235,229,264,239,231,257
282,259,249,485,315,542,622,363,265,256,389,282,242,297
144,170,237,341,274,410,505,253,229,245,279,256,235,257
388,307,262,499,362,577,656,461,275,262,437,275,239,330
247,171,235,338,277,425,519,356,253,252,307,270,238,270
197,60,231,289,270,334,437,326,231,230,267,245,231,250
442,341,269,471,394,556,634,441,288,248,431,278,239,336
