"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
197,190,290,388,451,473,531,571,446,340,330,284,274,597
348,365,351,511,546,590,651,654,528,417,461,299,311,671
364,297,268,461,374,555,634,497,351,287,414,264,260,517
312,260,284,439,433,538,611,572,430,340,398,281,265,582
145,58,234,267,256,285,355,313,265,249,251,235,235,333
147,84,234,308,267,450,564,380,274,234,275,249,233,282
357,241,274,489,412,590,675,559,375,318,452,265,250,531
196,224,238,384,316,481,588,453,276,249,315,272,234,334
214,81,231,304,213,394,547,312,248,232,278,244,231,244
382,646,262,497,405,581,690,524,314,281,434,316,252,417
175,98,248,309,301,382,517,384,283,261,298,255,237,380
177,114,260,320,346,362,517,450,326,264,290,249,246,468
307,215,247,399,360,489,572,405,294,258,357,270,233,396
139,70,239,273,236,309,212,233,231,239,258,232,231,227
239,138,247,388,391,503,609,457,298,276,373,269,236,353
177,119,232,305,279,346,400,261,241,236,273,247,230,255
190,89,238,299,267,349,421,283,239,244,274,235,232,264
247,347,276,494,393,545,624,496,377,301,405,287,254,492
501,382,290,532,496,589,676,585,436,336,463,315,272,576
333,199,245,433,322,529,606,464,295,282,401,271,243,409
156,65,237,309,242,348,332,310,247,236,269,248,238,289
287,147,253,400,332,493,564,458,307,281,349,266,240,442
170,80,229,282,216,315,408,318,243,238,259,256,232,265
406,375,254,498,379,582,664,498,312,278,444,281,246,456
152,93,234,296,257,325,447,303,238,224,262,242,233,254
203,110,237,315,254,372,463,278,249,234,292,231,229,283
134,117,237,299,255,346,482,328,256,248,258,239,236,302
314,291,292,472,399,561,645,565,405,332,415,281,262,547
186,161,242,327,264,406,442,345,274,241,297,243,239,334
154,100,249,307,316,349,461,424,285,255,276,247,240,372
165,76,234,285,246,331,421,247,232,238,270,244,227,242
180,61,230,305,256,367,442,329,249,243,279,236,237,271
318,302,250,463,382,543,623,494,332,287,404,281,243,415
456,289,249,480,399,565,644,498,354,282,434,260,244,465
422,507,267,536,438,601,675,527,376,311,484,313,251,502
287,270,252,389,339,517,587,467,307,268,381,276,240,432
280,219,272,468,450,532,602,513,389,319,404,270,246,537
208,246,242,363,330,475,586,404,260,248,338,276,238,283
183,113,245,323,285,376,480,359,299,260,280,239,241,386
390,448,239,424,338,491,623,427,282,272,352,327,266,271
228,139,248,341,320,451,518,429,260,265,318,254,239,373
459,456,270,541,448,634,730,555,366,304,493,326,247,476
470,561,278,519,478,603,703,591,415,333,447,308,259,582
184,246,245,369,388,521,639,455,280,247,342,280,236,332
244,291,733,363,896,532,638,981,903,810,368,268,675,1023
386,402,290,493,476,597,689,603,447,344,445,276,267,584
430,255,269,506,390,594,683,567,359,297,437,295,255,502
229,159,240,359,381,518,587,414,239,439,329,284,624,299
231,182,241,368,273,471,584,437,272,266,335,271,237,382
142,122,240,330,325,397,514,319,263,248,301,254,240,355
283,227,259,422,384,514,608,507,350,283,368,272,249,479
178,103,230,331,239,388,472,375,244,240,283,242,233,279
193,270,271,399,432,472,563,519,396,308,330,258,259,551
124,75,238,287,285,325,435,268,259,248,255,248,231,280
210,102,234,296,285,388,494,346,244,230,290,236,232,266
134,340,244,400,291,437,561,444,285,249,313,266,244,326
274,258,246,458,375,548,655,481,309,271,421,280,246,398
313,416,275,506,413,573,666,529,356,320,437,305,251,493
334,218,253,442,291,537,629,499,325,287,407,274,246,414
175,104,236,311,268,372,445,344,247,252,287,249,240,245
372,258,268,470,400,529,625,529,385,296,401,291,252,521
171,99,236,330,245,369,486,281,243,245,274,250,236,232
336,428,253,413,357,496,618,463,299,269,374,275,242,413
472,373,327,519,521,584,673,616,505,385,438,312,283,636
168,258,243,357,345,432,584,439,283,280,347,281,240,329
172,84,237,285,290,361,445,349,250,249,268,245,232,281
359,377,253,509,401,585,655,502,326,285,458,298,251,411
152,83,240,279,244,319,416,292,244,239,267,249,238,244
174,200,241,310,236,364,517,337,266,244,298,251,235,309
146,64,231,297,258,322,399,301,239,231,266,231,231,258
