"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
45234,35280.8,16.8,413.91,208.05,774.08,2259.92,447.72,49.2,3.28,224.1,746.66,1.48,6.64
53944.6,104208,46.9,1141.72,311.71,1859.76,3909.76,911.84,167.28,63.96,652.38,1350.5,37.74,600.09
128113,95848.4,45.5,2090.72,796.43,3739.2,9475.92,1766.28,312.42,214.02,1530.52,5687.64,50.32,1390.25
69497.3,70862.1,47.6,1399.41,687.66,2117.24,7394.76,1038.12,210.74,144.32,880.63,7835.86,66.6,1020.07
42984,28677.3,8.4,523.41,98.55,641.24,1123.4,377.2,105.78,-7.38,283.03,304.88,0.74,125.33
101429,96065.9,72.8,1863.69,597.87,3268.52,8322.18,1627.7,218.94,207.46,1458.31,7858.06,54.02,1206.82
44822.9,35495.8,44.1,451.87,367.19,701.92,1876.16,724.06,82,54.12,268.09,299.7,0.74,450.69
33897.6,19576.4,2.1,381.79,81.76,774.08,1041.4,373.1,18.04,10.66,303.78,419.58,22.94,180.94
85065.8,46807.8,58.8,1226.4,353.32,2125.44,4772.4,783.92,162.36,118.08,860.71,2214.82,9.62,621.67
49436.6,22249,27.3,337.99,243.09,514.14,1148.82,428.04,12.3,8.2,288.01,437.34,-2.96,268.92
58741.9,69276.8,249.2,930.02,1882.67,3562.9,15394.7,5313.6,1216.88,1029.92,1811.89,2666.22,307.84,2892.55
58435.9,39442.4,59.5,854.1,131.4,901.18,2578.9,580.56,113.98,53.3,415,1421.54,17.76,288.01
97291.4,53263.6,43.4,1547.6,450.41,2719.94,6254.14,1407.94,216.48,124.64,1166.15,5292.48,54.76,654.87
46348.6,17148.6,16.8,362.08,86.14,535.46,1985.22,563.34,76.26,26.24,233.23,418.1,18.5,245.68
56376,26766.7,21,379.6,110.96,853.62,1697.4,472.32,89.38,27.06,256.47,431.42,24.42,304.61
31535.3,60844.8,53.9,478.88,189.07,780.64,2279.6,631.4,18.04,31.98,300.46,1334.96,11.1,415.83
40351.7,24128.9,6.3,374.49,-62.05,496.1,1616.22,295.2,89.38,50.84,268.92,694.86,42.92,157.7
65085.8,48451.2,35.7,1046.09,328.5,1567.02,4656.78,876.58,205.82,46.74,727.08,5227.36,14.8,821.7
43120.1,31012.1,-10.5,513.92,188.34,933.98,4109.02,378.02,78.72,11.48,404.21,3745.88,25.16,419.15
97791.8,117724,56.7,2060.79,735.11,3160.28,13698.1,1819.58,301.76,141.04,1350.41,20956.1,178.34,2356.37
73393.2,108207,87.5,1532.27,840.96,3022.52,7962.2,2391.12,409.18,236.16,1204.33,4304.58,113.22,1396.89
50970.2,34509.7,24.5,579.62,108.04,1051.24,1453.86,284.54,51.66,57.4,399.23,301.92,8.14,257.3
122590,115187,79.1,2402.43,1002.29,4027.84,11288.9,2340.28,332.1,116.44,1730.55,11926.6,126.54,1666.64
43195.7,35991.3,14.7,596.41,-71.54,733.08,1983.58,300.94,17.22,25.42,177.62,978.28,22.2,183.43
98289.4,70109.3,39.2,1750.54,530.71,2933.96,8223.78,1357.1,158.26,142.68,1082.32,9665.88,66.6,1271.56
45906.5,17886.5,35,389.82,154.76,536.28,2217.28,291.92,54.12,51.66,253.98,2240.72,6.66,164.34
39594.2,21976.7,37.1,351.13,74.46,522.34,1804.82,370.64,56.58,-3.28,166.83,1363.08,11.1,308.76
89056.1,76669.6,66.5,1679.73,475.96,2878.2,7676.02,1539.14,198.44,111.52,1212.63,5076.4,63.64,923.79
39299,32121,9.8,320.47,240.17,637.14,1516.18,159.9,27.06,13.94,240.7,237.54,-10.36,92.13
