"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
48046.3,23984.5,-7,366.46,204.4,1345.62,3230.8,574.82,97.58,64.78,182.6,43.66,26.64,-45.65
49045.7,20531.7,7,335.07,149.65,1977.84,4152.48,1217.7,91.02,27.88,253.15,5.92,17.76,113.71
56756.9,26555,3.5,538.74,89.06,3263.6,6327.12,975.8,124.64,22.96,245.68,28.12,22.2,138.61
88567.2,147106,79.1,2329.43,1414.74,14354.1,31866.8,4766.66,924.96,420.66,1393.57,389.98,81.4,809.25
47666.9,34615.1,-13.3,447.49,389.82,1728.56,4412.42,691.26,124.64,81.18,354.41,90.28,38.48,78.02
87262.6,55693,-6.3,1422.77,387.63,5066.78,11096.2,1617.86,191.88,166.46,991.02,247.16,18.5,239.04
39075.1,86369,56.7,727.81,1222.75,6906.04,14345.1,2953.64,419.02,161.54,581.83,119.14,19.98,502.98
34578,47844.5,5.6,405.88,661.38,5617,12379.5,1956.52,236.98,82,242.36,194.62,15.54,193.39
43367,21424,13.3,419.75,194.18,3476.8,7787.54,1103.72,153.34,51.66,196.71,119.88,-2.22,143.59
91325.5,50215,49.7,1092.81,442.38,7399.68,15343.8,2109.86,347.68,148.42,798.46,227.18,43.66,338.64
58996.1,29998.7,11.2,649.7,256.96,3544.04,6348.44,907.74,154.16,100.86,311.25,61.42,-10.36,166
113821,91268.5,35.7,1753.46,830.74,4283.68,8294.3,1418.6,258.3,165.64,1276.54,343.36,47.36,547.8
51071.8,92899.4,41.3,1019.08,1008.13,8989.66,20960,3224.24,337.84,252.56,663.17,179.82,47.36,246.51
50503.7,23835.9,14,320.47,91.25,924.96,1537.5,296.02,74.62,59.04,197.54,-13.32,-0.74,162.68
55259.3,20846.3,14.7,457.71,134.32,1568.66,3031.54,574.82,28.7,54.94,341.13,55.5,17.02,151.89
83110.3,65000.6,18.2,845.34,345.29,6223.8,12789.5,2055.74,275.52,110.7,639.93,127.28,-5.18,271.41
111987,77090.4,37.1,1511.83,827.82,6796.98,13411.9,2091.82,294.38,143.5,901.38,262.7,18.5,328.68
37990.1,53164,35.7,643.13,589.11,8403.36,17792.4,2667.46,288.64,149.24,288.01,182.04,-1.48,241.53
30595,34960.4,49,130.67,731.46,13794.9,27073.9,4324.68,531.36,193.52,276.39,54.02,22.2,88.81
56512.1,31569.9,49,686.2,332.15,1747.42,3405.46,475.6,102.5,86.92,485.55,93.98,16.28,155.21
111159,71440.6,55.3,2357.17,957.76,14217.2,29011.6,4806.84,613.36,322.26,1352.07,238.28,54.76,680.6
88754.4,63221.9,35.7,1174.57,613.2,7443.96,13772.7,2218.92,369.82,191.06,888.93,174.64,31.08,317.06
49105.4,35378.8,18.2,378.14,567.94,6482.1,13457,1898.3,266.5,45.1,312.91,96.2,-11.1,288.01
112914,120963,79.1,2453.53,444.57,7155.32,13400.4,2145.94,373.1,229.6,1581.15,301.18,12.58,585.15
45867.6,68582.1,31.5,879.65,711.75,8871.58,19066.6,3091.4,462.48,256.66,542.82,129.5,25.16,411.68
96531.8,79710.7,40.6,1487.74,345.29,3257.04,6414.04,1468.62,232.88,100.86,1031.69,196.1,17.02,634.95
105507,105241,78.4,2369.58,475.96,3887.62,7953.18,1768.74,210.74,167.28,1358.71,190.18,-4.44,340.3
53127.4,29320.6,12.6,600.06,161.33,1726.92,2832.28,720.78,36.9,45.92,258.96,39.22,23.68,156.87
38628,69056.8,21.7,862.86,592.76,7830.18,15693.2,2702.72,409.18,158.26,423.3,136.9,8.88,234.06
70747.9,73840.9,26.6,1083.32,1152.67,23878.4,48431.7,7120.88,1055.34,450.18,649.89,270.1,36.26,385.12
51958.8,21386.6,37.8,288.35,363.54,3023.34,5998.3,833.94,174.66,57.4,253.15,22.94,14.06,60.59
103565,92734.2,56,2330.16,674.52,5766.24,11154.5,2093.46,302.58,186.14,1425.11,401.08,37.74,519.58
74666.9,63793,63,1312.54,529.98,4868.34,10409.9,1408.76,273.06,119.72,883.12,150.96,10.36,330.34
92091.6,70010.5,58.1,1910.41,483.26,5594.86,11202,1874.52,208.28,133.66,1018.41,173.9,42.18,386.78
