"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
42541.2,81354.9,53.9,810.3,274.48,1257.88,2706.82,786.38,142.68,92.66,425.79,49.58,19.98,292.99
70691,67902.3,114.1,1477.52,444.57,3155.36,6116.38,1029.1,157.44,48.38,1095.6,148,0,399.23
50389.9,46643.5,142.1,902.28,616.12,1905.68,5212.74,1474.36,367.36,185.32,746.17,232.36,111.74,571.87
80920.1,67872.4,139.3,1722.8,504.43,2880.66,6250.86,1502.24,224.68,109.06,1186.9,150.22,25.16,451.52
63956.9,45747.1,53.2,659.92,222.65,1247.22,2398.5,540.38,110.7,63.14,469.78,114.7,48.1,128.65
114687,85342.3,4300.8,2392.21,3414.94,4128.7,8140.96,1831.88,1305.44,581.38,1566.21,390.72,367.78,595.11
46451.5,16135.2,4.2,358.43,148.92,491.18,978.26,134.48,0,-0.82,173.47,45.88,0,-29.88
54412.6,27638.2,-25.2,509.54,527.79,751.94,1348.08,308.32,105.78,77.08,326.19,152.44,15.54,142.76
55938.2,57241.8,57.4,892.79,101.47,1826.96,3657.2,644.52,177.12,63.14,680.6,101.38,26.64,391.76
44894.2,60486.2,74.9,303.68,600.06,753.58,3186.52,920.04,86.92,86.1,363.54,114.7,45.88,524.56
99514.1,93183.3,1493.1,2219.93,1500.15,4154.94,8018.78,1683.46,504.3,316.52,1611.86,192.4,102.86,729.57
67551.8,65530.2,345.1,1138.8,708.83,2151.68,5018.4,1212.78,283.72,128.74,744.51,149.48,66.6,693.05
51549.1,22119.5,11.9,497.13,66.43,717.5,2050,75.44,62.32,23.78,224.1,-30.34,26.64,-18.26
51336,29030.1,205.1,457.71,394.93,702.74,1229.18,344.4,72.16,34.44,188.41,38.48,28.12,106.24
67518.7,58943.3,105.7,1054.12,248.93,1816.3,4397.66,519.88,115.62,67.24,736.21,148,6.66,264.77
117891,108522,744.8,2534.56,1245.38,4502.62,8819.92,1776.94,444.44,225.5,1605.22,424.02,83.62,513.77
43937.3,25422.9,31.5,393.47,20.44,529.72,525.62,83.64,9.84,13.12,152.72,65.12,34.78,109.56
48520.1,19145.6,21,397.12,193.45,373.92,955.3,149.24,-3.28,15.58,282.2,20.72,5.18,205.01
66921.1,59119.2,40.6,940.97,218.27,1594.9,3567,603.52,136.12,87.74,671.47,101.38,11.84,245.68
112959,131059,756,2516.31,1469.49,4283.68,7498.08,2103.3,537.92,282.9,1516.41,386.28,93.98,1129.63
116911,132232,1462.3,3242.66,2185.62,5563.7,10102.4,2300.1,724.88,347.68,2167.96,375.92,106.56,776.05
86523.8,48745.1,42.7,899.36,222.65,1542.42,3462.04,455.1,50.84,38.54,546.14,122.1,20.72,340.3
31970.2,32306.9,65.8,273.75,719.05,943,3746.58,1570.3,344.4,317.34,330.34,80.66,77.7,697.2
46551.6,25957.4,13.3,394.93,129.94,577.28,1481.74,101.68,113.98,54.94,232.4,39.96,27.38,53.12
41735.5,28640,50.4,356.97,6.57,707.66,778.18,-54.12,56.58,41,153.55,54.76,7.4,183.43
38859.1,32088.6,7.7,381.79,-2.19,629.76,1891.74,90.2,54.94,26.24,209.99,40.7,-2.22,97.94
51019.2,27168.4,46.9,588.38,176.66,763.42,1480.92,282.9,36.08,58.22,260.62,33.3,18.5,112.05
50618.2,31662,15.4,406.61,269.37,676.5,1185.72,350.14,31.16,71.34,262.28,84.36,24.42,118.69
98487.4,86237.8,646.8,1688.49,1354.88,3179.14,6037.66,1515.36,369.82,159.9,1133.78,215.34,78.44,390.1
51206.4,47605.5,46.2,587.65,208.78,1128.32,2655.16,537.1,69.7,57.4,396.74,122.1,19.98,133.63
45972,25960.7,32.9,586.19,173.01,928.24,1481.74,367.36,45.92,67.24,388.44,101.38,48.84,139.44
57360.2,45253.3,73.5,845.34,305.87,1444.84,3107.8,733.08,139.4,-7.38,480.57,143.56,-5.18,277.22
59047.2,66772.7,116.2,1676.81,1099.38,3320.18,9324.22,2564.14,576.46,338.66,1298.12,325.6,85.1,1059.08
90180,92818.1,1182.3,1400.14,1043.17,2160.7,3922.06,1143.9,373.92,169.74,741.19,140.6,93.24,402.55
46700.6,51982.1,50.4,689.85,520.49,1269.36,2784.72,970.06,189.42,186.14,577.68,165.02,37,379.31
46963.4,14867,27.3,302.95,116.8,699.46,859.36,105.78,24.6,2.46,205.84,47.36,3.7,74.7
90694.8,65913.6,1339.1,1638.85,1517.67,2880.66,5057.76,1201.3,461.66,256.66,1097.26,170.2,107.3,484.72
50602.3,37587.4,16.8,559.18,98.55,774.08,1439.92,376.38,55.76,63.96,273.07,61.42,9.62,136.12
41749.2,68789.6,95.2,686.93,876,1414.5,4226.28,1086.5,197.62,98.4,678.11,236.8,77.7,413.34
50153.8,29550.5,25.9,523.41,207.32,806.88,943.82,391.14,53.3,78.72,257.3,127.28,74.74,146.08
36624.2,18686.6,27.3,260.61,28.47,548.58,620.74,350.96,85.28,30.34,198.37,57.72,39.96,46.48
51767.3,41679.3,186.2,763.58,299.3,1274.28,2765.04,1068.46,118.9,177.94,474.76,96.2,39.96,550.29
52684.6,21725.2,20.3,400.77,114.61,625.66,2397.68,314.06,44.28,12.3,346.11,41.44,-5.92,211.65
57870,49362.6,49,626.34,236.52,1074.2,1616.22,510.04,82.82,88.56,444.05,56.98,8.88,142.76
46257.8,13740.6,16.8,276.67,-4.38,528.9,475.6,168.92,-12.3,41.82,155.21,68.82,-11.1,24.07
52151,18640.1,21.7,412.45,313.17,807.7,1668.7,264.04,52.48,26.24,245.68,63.64,2.96,165.17
47214,33540.3,13.3,413.18,202.94,914.3,2635.48,113.98,67.24,4.1,324.53,9.62,-5.18,167.66
49949.3,16169.2,30.1,295.65,348.21,509.22,1008.6,116.44,-4.92,30.34,233.23,25.9,8.14,60.59
85408.6,72102.9,198.1,1606.73,584,2724.86,5815.44,1190.64,251.74,119.72,1045.8,230.88,34.78,388.44
74846.2,80352.3,54.6,1378.97,706.64,2591.2,4775.68,1252.14,135.3,50.02,1022.56,241.24,20.72,402.55
142727,96225.2,127.4,2406.81,478.15,3667.86,7194.68,1622.78,283.72,174.66,1267.41,216.82,50.32,387.61
42292.1,59711.9,43.4,362.08,67.16,571.54,481.34,644.52,61.5,22.96,194.22,105.08,15.54,137.78
59711,37008,84,643.13,380.33,1355.46,2650.24,474.78,113.16,50.84,535.35,62.9,-15.54,275.56
49578.5,21812.4,-12.6,332.88,-41.61,709.3,784.74,264.04,33.62,15.58,218.29,23.68,32.56,98.77
47143.4,22220.8,27.3,346.75,204.4,484.62,1676.08,300.12,61.5,-17.22,215.8,98.42,-14.8,108.73
85613,60154.2,116.9,1424.23,566.48,2608.42,5323.44,1300.52,220.58,94.3,1031.69,227.92,42.18,375.99
117652,122483,6878.9,2806.85,5484.49,4945.42,10447.6,2353.4,1758.9,1079.12,1970.42,233.1,482.48,1008.45
51961.7,101818,441,1165.81,3253.61,4403.4,17389.7,7283.24,1462.06,1363.66,2597.07,930.18,400.34,3256.09
41520.2,35014.4,11.9,283.97,145.27,450.18,1172.6,326.36,50.02,32.8,146.91,93.24,-5.18,198.37
41027,20411.4,141.4,323.39,200.75,417.38,1653.94,-92.66,9.84,42.64,181.77,65.86,-1.48,109.56
44674.6,14722.5,39.9,313.9,278.13,533.82,716.68,132.84,68.88,3.28,234.06,70.3,32.56,-7.47
76668.5,41173,95.2,996.45,350.4,1551.44,2799.48,607.62,144.32,67.24,593.45,96.94,27.38,433.26
