"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
36015.1,23374.5,-2.1,235.79,323.39,385.4,1927,328.82,45.92,33.62,97.94,16.28,35.52,128.65
38619.4,21397.4,44.8,326.31,115.34,443.62,732.26,634.68,143.5,26.24,166,-36.26,4.44,318.72
35130.2,69180.5,212.8,613.93,1668.78,2064.76,8721.52,4396.84,1116.02,864.28,797.63,301.92,247.16,2050.93
35636.4,23502.3,0.7,210.97,118.99,375.56,1215.24,175.48,63.96,50.84,161.02,54.76,10.36,95.45
39540.2,26954.2,51.8,600.79,351.13,945.46,1439.92,769.16,184.5,77.08,309.59,25.9,34.04,282.2
37345,40390.3,58.1,373.03,640.94,1049.6,1763.82,850.34,288.64,105.78,314.57,50.32,31.08,830.83
88967.5,63956.5,165.2,1635.2,1013.97,2651.06,5303.76,2470.66,706.02,291.1,943.71,153.92,65.12,2426.92
96226.6,56524.7,279.3,1935.23,1294.29,3075,6986.4,3417.76,1408.76,613.36,1024.22,209.42,185.74,4377.42
35398.8,36241.9,30.8,433.62,383.98,702.74,1030.74,487.9,95.12,98.4,248.17,195.36,14.06,156.87
37778.4,24667.6,53.2,589.84,229.95,910.2,1614.58,621.56,121.36,63.14,357.73,40.7,40.7,142.76
45193.7,106100,171.5,1066.53,1015.43,1822.04,3692.46,1748.24,624.84,351.78,682.26,265.66,130.24,1647.55
49034.2,70672,34.3,703.72,170.09,1414.5,3475.16,1107.82,206.64,72.98,536.18,100.64,16.28,369.35
63324.7,64489.3,214.2,1504.53,944.62,1538.32,3476.8,2164.8,780.64,364.9,568.55,129.5,127.28,2455.14
55436.4,25410.4,35,589.84,122.64,881.5,2441.96,300.94,88.56,35.26,352.75,40.7,2.96,221.61
73684.8,57303.2,134.4,1467.3,441.65,2735.52,6100.8,1699.04,439.52,173.02,892.25,228.66,89.54,927.11
32204.9,59570.8,100.1,790.59,778.18,1109.46,2745.36,842.96,275.52,95.94,392.59,69.56,14.8,766.92
108110,127218,210.7,2683.48,931.48,4992.16,9244.68,2789.64,678.96,290.28,1607.71,425.5,119.88,1664.98
43946.6,35506.6,57.4,440.92,376.68,1017.62,2995.46,1192.28,193.52,149.24,344.45,136.16,51.8,612.54
44928,23008.4,21,337.99,242.36,603.52,1567.84,446.9,126.28,59.04,204.18,113.96,11.84,292.16
34590.2,60189.1,75.6,584.73,616.85,1240.66,2988.08,985.64,223.04,79.54,519.58,245.68,30.34,512.11
36182.9,13958.1,56,300.03,188.34,810.98,1807.28,398.52,186.14,50.02,244.02,-18.5,1.48,703.01
92647.4,58222.8,120.4,1578.26,819.79,2918.38,6669.06,2084.44,474.78,281.26,1096.43,153.92,110.26,1313.06
39750.5,20774.1,39.2,403.69,424.86,813.44,2089.36,436.24,134.48,91.84,267.26,28.12,8.14,483.89
40860,20819.7,20.3,308.79,137.97,598.6,2309.94,353.42,147.6,44.28,124.5,89.54,27.38,92.13
42781,22749.5,8.4,394.93,73,504.3,1347.26,419.84,106.6,0.82,235.72,79.18,23.68,152.72
77608.1,87136.7,173.6,1524.24,1008.86,2512.48,5003.64,1971.28,479.7,225.5,863.2,273.8,105.08,1347.09
41026.3,70288.5,77.7,962.14,463.55,1615.4,2887.22,1263.62,282.9,118.08,448.2,113.96,50.32,878.97
86132.9,59330.9,229.6,1356.34,1197.93,2235.32,5231.6,3374.3,1119.3,383.76,834.98,75.48,213.12,3576.47
43777.4,20500.2,26.6,419.02,-7.3,627.3,1685.92,283.72,34.44,39.36,229.91,37.74,10.36,88.81
41602.3,19999.7,25.9,486.91,52.56,986.46,2548.56,668.3,64.78,22.14,365.2,111,45.14,256.47
51364.1,37381.5,105.7,672.33,640.21,950.38,2532.98,1294.78,369.82,148.42,459.82,150.22,43.66,999.32
47612.2,19651.9,11.9,533.63,303.68,651.9,1426.8,478.88,54.94,30.34,268.92,25.9,11.84,122.84
53274.2,34387.7,53.2,802.27,298.57,1017.62,1924.54,870.02,150.06,40.18,305.44,113.22,8.88,469.78
61560.7,61696.4,224.7,1502.34,1090.62,2456.72,4601.02,2908.54,997.94,512.5,818.38,165.02,127.28,2865.16
90577.4,88523.6,249.2,2079.04,1396.49,3438.26,6615.76,3275.08,1145.54,388.68,1141.25,210.16,189.44,3067.68
45068.4,25622.1,32.2,357.7,172.28,687.16,1336.6,18.86,8.2,59.04,244.02,121.36,5.92,208.33
49705.2,66676.4,656.6,1033.68,3220.03,1856.48,3876.14,7115.14,3104.52,1440.74,693.88,85.1,395.9,10137.6
43742.2,17216.7,-3.5,292.73,-262.07,393.6,-22.96,271.42,69.7,-31.16,147.74,29.6,25.16,205.01
42057.4,19173,24.5,368.65,137.24,667.48,1529.3,484.62,94.3,114.8,210.82,32.56,-8.88,205.84
117487,146749,359.8,3180.61,1916.98,5438.24,10906.8,5234.88,1329.22,634.68,1836.79,390.72,201.28,3569
36172.8,15772.5,47.6,116.8,193.45,223.86,907.74,240.26,33.62,47.56,92.96,12.58,-14.8,224.1
39787.9,43101.9,7.7,422.67,203.67,525.62,1098.8,441.16,217.3,129.56,236.55,86.58,10.36,861.54
49940.6,24355.5,20.3,318.28,152.57,591.22,741.28,464.12,66.42,-1.64,259.79,118.4,-23.68,147.74
42783.1,18011,41.3,282.51,78.11,752.76,1341.52,567.44,90.2,22.96,209.16,6.66,23.68,329.51
50360.4,26165.8,27.3,665.76,-156.22,865.92,2185.3,406.72,109.06,42.64,263.94,85.84,19.98,275.56
41001.1,36119.9,44.8,395.66,18.98,624.84,1544.06,733.9,124.64,82.82,298.8,56.24,28.86,270.58
34711.2,75940.9,43.4,986.23,479.61,1449.76,2647.78,978.26,270.6,211.56,514.6,78.44,50.32,707.16
28539.4,34116.3,53.2,579.62,109.5,953.66,2206.62,195.98,76.26,78.72,340.3,59.2,5.18,333.66
