"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
103706,69696.8,945.7,1729.37,8881.91,3796.6,6404.2,4842.92,11132.3,5159.44,1434.24,310.8,103.6,2126.46
45951.8,29250,82.6,456.98,749.71,825.74,2097.56,770.8,484.62,332.92,244.85,94.72,11.1,148.57
43017.1,21595.8,33.6,475.23,459.9,787.2,1113.56,460.02,194.34,102.5,254.81,88.8,16.28,214.14
52323.8,27689.6,37.8,444.57,202.94,883.96,1575.22,669.12,179.58,33.62,333.66,-39.96,18.5,54.78
74494.1,57327.3,119,889.14,1396.49,1585.88,4087.7,919.22,374.74,278.8,546.97,173.9,59.2,510.45
44884.1,37188.1,55.3,349.67,882.57,663.38,662.56,675.68,437.88,193.52,208.33,70.3,7.4,253.98
47347.9,21984.2,49,269.37,428.51,614.18,1590.8,400.16,92.66,77.08,191.73,59.94,-12.58,123.67
53725,51925.6,312.2,1288.45,2349.87,1831.06,3223.42,2063.94,2644.5,1234.92,597.6,192.4,22.94,759.45
92077.9,71912,567,1547.6,5685.97,3234.08,6238.56,3588.32,6171.32,2954.46,1147.06,234.58,45.14,1325.51
38011,17446.6,22.4,371.57,296.38,419.02,1011.88,159.08,232.88,129.56,185.09,102.12,26.64,155.21
47461.7,21001.5,22.4,418.29,92.71,1005.32,1573.58,150.06,145.14,48.38,232.4,29.6,-2.96,263.11
120879,91404.6,595.7,2523.61,5196.14,5241.44,10040.9,4310.74,6671.52,3012.68,1758.77,373.7,95.46,1646.72
54292.3,86966.6,141.4,8178.19,3637.59,23619.3,51131.9,10382,1696.58,791.3,9098.46,1255.78,146.52,3213.76
105832,151868,729.4,2543.32,6218.14,4531.32,9111.84,4148.38,5434.14,2726.5,1474.91,448.44,83.62,1494.83
43403,15601.5,19.6,418.29,84.68,691.26,1286.58,144.32,89.38,32.8,175.96,123.58,-7.4,198.37
101267,79763,568.4,1726.45,4698.28,3449.74,6221.34,3330.84,6127.86,3088.12,1372.82,207.2,31.82,1518.07
