"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
45473,48578.2,77,552.61,1328.6,1382.52,6947.04,7096.28,942.18,353.42,643.25,193.88,55.5,517.92
55069.9,22960.3,46.2,496.4,378.14,1062.72,3294.76,1776.94,231.24,71.34,414.17,216.82,32.56,201.69
46594.1,19060.1,42,354.78,467.93,875.76,3818.74,2404.24,309.96,112.34,373.5,172.42,20.72,281.37
140484,107945,120.4,3064.54,1612.57,5630.94,13304.5,8626.4,1176.7,410.82,2187.88,668.22,25.9,581
52279.9,87068.7,194.6,903.01,2173.21,1804.82,12703.4,18163.8,2574.8,823.28,839.13,412.18,72.52,551.12
48677.8,18370.4,56,267.91,152.57,332.92,904.46,881.5,69.7,91.02,243.19,167.98,5.92,160.19
45786.2,21115.2,44.8,310.25,132.86,298.48,1671.16,2219.74,274.7,123.82,303.78,239.02,5.18,80.51
83308.3,40612.7,86.1,1345.39,775.99,2091.82,5040.54,3806.44,573.18,180.4,995.17,385.54,28.12,297.14
46993,19192.1,18.2,372.3,83.95,442.8,608.44,1644.1,226.32,42.64,354.41,196.84,3.7,259.79
48149.3,69694.3,84.7,612.47,1024.92,1405.48,5236.52,5294.74,652.72,245.18,527.05,245.68,61.42,385.12
100231,74124.8,145.6,2761.59,829.28,4983.96,10501.7,6798.62,954.48,291.92,1727.23,699.3,33.3,752.81
87102,67097.2,113.4,1286.26,521.22,2547.74,7302.92,6058.98,853.62,218.12,1015.92,350.02,41.44,620.01
94338.7,108772,372.4,2065.17,3682.85,4269.74,23229.8,27590.5,3706.4,1301.34,1661.66,677.84,153.92,834.15
44874.7,30207.8,91.7,569.4,641.67,760.14,5199.62,8846.16,1225.08,330.46,498.83,390.72,34.78,321.21
67487.8,61195.9,149.8,1318.38,1089.16,2932.32,10217.2,10569,1238.2,470.68,1021.73,504.68,65.86,645.74
101873,73646.7,120.4,1657.1,1054.85,3662.94,12234.4,8961.78,1015.16,512.5,1444.2,674.88,56.24,551.95
56184.5,16629,9.8,329.23,26.28,1072.56,3358.72,1365.3,154.98,86.92,285.52,147.26,25.16,302.95
51104.2,31017.1,67.9,510.27,753.36,977.44,4258.26,8960.96,1252.96,359.16,507.13,215.34,23.68,314.57
52938,29059.1,5.6,516.11,99.28,800.32,1031.56,1003.68,179.58,-13.94,383.46,142.82,-4.44,73.87
82968.5,85983,108.5,1235.16,1142.45,2113.14,7937.6,8402.54,1205.4,358.34,990.19,435.86,53.28,635.78
69197.8,87942.6,172.2,1184.06,2090.72,2075.42,13384,16965,2344.38,590.4,1061.57,458.8,40.7,678.94
89531.3,98691.1,179.9,2030.13,1740.32,3912.22,14740.3,12201.6,1689.2,533,1697.35,558.7,78.44,678.11
96397.9,73380.3,117.6,1811.86,1290.64,3851.54,11067.5,8774.82,1264.44,414.92,1464.12,500.98,15.54,878.97
72435.6,56506.4,109.2,762.85,1449.78,1785.96,9730.94,11275,1537.5,464.12,688.07,261.96,28.12,526.22
74253.6,55631.6,140.7,620.5,1557.82,1298.88,8114.72,16277,2059.84,567.44,626.65,435.86,42.18,155.21
97740,67325.4,202.3,1796.53,1835.22,3621.94,11733.4,14450.9,1840.08,514.14,1510.6,612.72,122.84,727.91
34427.5,25629.6,44.8,316.09,302.22,520.7,3781.84,4720.74,663.38,360.8,313.74,213.12,17.76,82.17
41599.4,21365.9,53.9,275.94,556.26,555.96,2341.1,6152.46,822.46,230.42,262.28,207.2,-23.68,114.54
43063.2,25776.5,39.2,393.47,259.88,779,1477.64,968.42,75.44,9.84,224.1,62.16,15.54,149.4
52208.6,24642.7,26.6,799.35,389.82,1298.88,2926.58,2036.88,319.8,91.84,471.44,96.2,22.94,269.75
41949.4,29197.7,27.3,413.18,630.72,874.12,4295.98,5289.82,612.54,193.52,343.62,228.66,18.5,272.24
