"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
125546,118466,45.5,2663.77,670.87,5526.8,9849.84,2211.54,364.9,165.64,4236.32,248.64,14.06,1015.92
41295.6,27164.2,40.6,415.37,119.72,785.56,2076.24,809.34,117.26,108.24,469.78,54.76,20.72,125.33
41698.8,32918.6,25.2,318.28,262.8,794.58,1278.38,269.78,32.8,70.52,328.68,86.58,46.62,180.11
68004,40953,35,342.37,22.63,528.9,705.2,424.76,0.82,41.82,307.1,77.7,-18.5,159.36
117036,106332,67.9,3053.59,1208.15,5375.92,10773.2,2177.1,307.5,211.56,2664.3,290.08,39.22,639.93
46706.4,71332.7,34.3,645.32,446.76,1185.72,2901.98,744.56,166.46,40.18,944.54,108.04,9.62,158.53
104749,81122.5,84.7,2245.48,1113.98,4264,9300.44,2145.12,376.38,220.58,2011.92,301.18,105.08,1033.35
43231,20434.6,42.7,357.7,110.96,774.9,2199.24,427.22,59.86,-55.76,449.03,126.54,31.08,211.65
122812,91272.6,97.3,1955.67,767.23,3596.52,8518.16,1710.52,311.6,165.64,3010.41,239.76,28.12,688.07
85393.4,69437,86.8,2119.19,453.33,3695.74,6516.54,1613.76,283.72,145.96,2165.47,217.56,68.82,373.5
81077.8,96942.3,107.8,2171.02,494.21,3579.3,6744.5,1234.1,288.64,179.58,2277.52,347.06,59.94,520.41
118148,69393,94.5,1425.69,992.07,3274.26,6041.76,1309.54,235.34,153.34,2448.5,148.74,32.56,441.56
34594.6,46804.5,25.9,331.42,244.55,766.7,2267.3,478.06,75.44,67.24,360.22,180.56,2.22,117.86
67455.4,80019.5,29.4,1514.75,323.39,2194.32,4772.4,740.46,159.9,146.78,1513.92,124.32,25.9,566.06
31962.2,43654.7,221.9,251.12,1986.33,1808.92,8464.04,4296.8,986.46,856.08,1104.73,369.26,239.76,2302.42
34957.4,23132.9,4.9,271.56,182.5,651.08,938.08,278.8,72.98,-14.76,216.63,18.5,-8.88,127.82
41310.7,17255.7,18.2,445.3,65.7,642.88,1403.84,120.54,86.92,88.56,1289.82,48.84,14.8,288.84
73676.2,131522,124.6,3418.59,1069.45,5957.3,10904.4,2449.34,339.48,195.16,3283.48,612.72,115.44,780.2
123501,185888,140.7,2195.84,1130.77,4752.72,11022.4,3078.28,491.18,287.82,3012.07,387.76,130.24,1028.37
84868.6,59459.5,24.5,1348.31,373.76,2594.48,6335.32,937.26,172.2,118.9,2104.05,62.16,17.02,346.11
99972.7,96456.8,50.4,1941.8,702.99,3721.98,7214.36,1836.8,191.88,127.1,2340.6,222.74,17.02,701.35
54516.2,62248.3,16.1,912.5,270.83,1990.96,3972.08,1179.16,194.34,105.78,1401.87,145.78,8.14,454.84
54252,51341.3,8.4,743.14,173.74,1275.1,2288.62,542.84,176.3,60.68,628.31,64.38,-2.96,197.54
45464.4,38357.6,35.7,435.81,382.52,891.34,1216.88,569.9,64.78,58.22,546.14,17.02,7.4,195.05
75476.9,103629,50.4,1300.86,475.23,2745.36,6815.84,1637.54,286.18,169.74,1209.31,256.78,21.46,645.74
58251.6,75274.4,40.6,946.08,148.92,2749.46,5753.12,1172.6,150.06,173.84,13651.8,203.5,56.98,722.93
40822.6,26169.1,0.7,368.65,42.34,593.68,879.04,637.14,-25.42,-18.86,463.97,-31.08,-11.84,213.31
41686.6,27511.2,5.6,322.66,-83.95,507.58,1150.46,323.08,100.86,43.46,356.9,53.28,-0.74,50.63
