"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
40105.4,37123.4,30.1,517.57,155.49,1039.76,1843.36,525.62,63.96,90.2,223.27,147.26,6.66,146.08
36101.5,56289.8,65.1,451.87,289.81,1225.9,2510.02,772.44,159.9,91.02,426.62,89.54,34.04,236.55
30278.9,77392.5,60.9,927.83,261.34,1212.78,3294.76,748.66,129.56,-8.2,403.38,159.84,8.88,380.97
39785.8,22780.2,2.8,443.11,30.66,656,1421.06,350.96,84.46,14.76,204.18,89.54,0,68.89
38570.4,43872.1,42.7,585.46,435.81,1288.22,2097.56,557.6,129.56,108.24,317.89,108.78,10.36,429.94
55387.4,50931.3,4370.1,990.61,3328.8,2032.78,4478.02,974.16,988.1,605.16,624.99,299.7,274.54,485.55
55838.2,30280.1,49,644.59,-27.01,1330.86,2147.58,557.6,93.48,26.24,321.21,96.94,17.76,261.45
101342,69627,187.6,2087.8,732.19,4213.98,7202.88,1636.72,333.74,134.48,1308.91,310.06,34.78,620.84
101330,107683,1484.7,2233.8,2019.91,4300.08,9725.2,1972.92,639.6,354.24,1570.36,338.92,138.38,713.8
51796.1,22225.7,-0.7,346.75,85.41,779.82,1186.54,266.5,0.82,5.74,238.21,74,22.2,35.69
74486.9,80018.6,557.2,1669.51,740.22,3075.82,6093.42,1484.2,366.54,219.76,1034.18,204.98,56.98,640.76
100796,136204,245.7,2998.84,1881.94,6803.54,15949,4300.08,883.14,601.06,2520.71,577.2,180.56,2137.25
48685.7,41203.7,55.3,738.76,428.51,1385.8,3380.86,550.22,127.92,32.8,483.06,136.16,2.96,194.22
57436.6,34128.8,86.8,574.51,524.14,1307.08,3039.74,1271.82,296.02,263.22,491.36,196.1,46.62,450.69
73588.3,65346.7,496.3,1668.78,879.65,3343.14,6545.24,1203.76,359.98,227.14,1195.2,326.34,62.16,512.11
46764,119721,267.4,1677.54,1090.62,4951.16,13323.4,3136.5,659.28,355.88,1726.4,558.7,202.76,1435.07
43683.8,57378.7,61.6,829.28,489.83,1526.02,3964.7,681.42,166.46,59.04,505.47,200.54,24.42,419.15
40833.4,94673.1,116.2,1138.07,794.97,2207.44,5874.48,1389.9,301.76,158.26,729.57,219.78,31.08,371.84
81051.8,59474.5,748.3,1998.01,1068.72,3249.66,5855.62,1185.72,439.52,199.26,1202.67,279.72,106.56,418.32
37811.5,39551.2,37.1,486.91,557.72,763.42,1367.76,720.78,153.34,104.96,321.21,124.32,39.96,146.91
93687.1,66795.1,373.1,1683.38,905.93,2979.88,5508.76,1042.22,277.98,161.54,1109.71,209.42,49.58,553.61
73281.6,87612.3,121.1,1137.34,337.99,2069.68,4640.38,1401.38,227.96,207.46,791.82,280.46,81.4,706.33
45391,86775.7,114.8,1027.11,527.06,1776.94,4232.84,1036.48,220.58,109.06,590.13,289.34,52.54,477.25
88225.2,74012.8,162.4,2279.06,676.71,3832.68,8054.04,1682.64,247.64,95.12,1344.6,274.54,42.92,508.79
108643,78428.4,142.8,2118.46,977.47,4090.16,8266.42,1534.22,187.78,258.3,1481.55,316.72,22.94,804.27
43940.2,34488.2,39.9,459.9,394.2,1038.12,2083.62,450.18,85.28,34.44,424.96,105.08,48.84,185.09
51685.2,20020.4,21,243.09,-70.08,696.18,1489.94,272.24,-23.78,-0.82,258.96,-65.86,-11.84,237.38
48795.1,108218,142.1,1465.84,946.81,2988.08,7322.6,2275.5,298.48,378.02,976.08,466.94,82.88,570.21
95253.8,146855,147,2144.01,1260.71,4107.38,9939.22,2592.02,503.48,424.76,1474.08,639.36,109.52,1120.5
48996,19769.8,16.1,432.16,222.65,596.96,2113.96,439.52,122.18,20.5,255.64,53.28,31.82,171.81
72641.5,62513.9,308,1461.46,516.11,2976.6,6248.4,1266.9,323.08,198.44,1084.81,298.22,65.86,467.29
43751.5,23146.2,35,378.87,245.28,628.94,1019.26,496.92,14.76,42.64,218.29,136.16,-5.92,74.7
39935.5,27731.1,9.8,348.21,108.77,857.72,1520.28,211.56,65.6,13.12,195.05,152.44,-44.4,115.37
81872.6,104360,193.9,2111.89,1232.24,4499.34,10341,2734.7,492,323.08,1476.57,571.28,153.18,1064.89
85502.2,96202,641.2,1494.31,1057.04,3535.02,7300.46,1565.38,451.82,173.84,1256.62,326.34,75.48,683.92
44490.2,32295.3,25.2,462.09,163.52,1086.5,1682.64,527.26,97.58,-21.32,311.25,76.96,12.58,108.73
60768,68856.8,1225.7,1452.7,1131.5,2514.12,4627.26,1403.84,539.56,256.66,864.86,228.66,136.16,462.31
41384.2,19583.8,19.6,340.91,65.7,519.06,1156.2,422.3,63.14,-43.46,229.91,106.56,6.66,262.28
47054.2,25798.1,25.2,353.32,84.68,560.88,1719.54,551.04,43.46,19.68,221.61,42.18,11.1,99.6
65719.4,115960,139.3,1572.42,1255.6,3584.22,8528.82,2134.46,388.68,266.5,1114.69,499.5,119.88,908.02
62012.2,44178.4,42.7,765.77,168.63,1570.3,3229.16,970.06,167.28,35.26,618.35,138.38,-4.44,304.61
89298,68344.7,1925.7,2057.87,2225.77,3549.78,7038.88,1682.64,717.5,403.44,1233.38,328.56,148,800.12
71785.4,84386.9,247.1,1038.79,733.65,1776.12,4518.2,958.58,197.62,83.64,673.96,139.86,34.04,417.49
204058,170017,365.4,3877.03,1754.19,7379.18,14819,3184.88,704.38,341.12,2598.73,631.22,137.64,1371.99
35720.6,23523.9,14.7,510.27,306.6,519.88,892.16,188.6,116.44,0,214.97,65.86,13.32,132.8
38600.6,23408.5,14,384.71,-140.16,618.28,924.14,15.58,10.66,50.02,237.38,32.56,19.98,74.7
94497.1,90047.5,536.2,2457.18,821.98,4326.32,7578.44,1600.64,380.48,276.34,1469.93,361.12,72.52,551.95
93005.3,74014.4,52.5,1060.69,238.71,1718.72,4389.46,995.48,220.58,64.78,688.07,166.5,39.22,341.13
61250.4,72497.2,637.7,1665.13,1067.26,2874.92,5367.72,1380.06,405.9,178.76,1093.94,238.28,64.38,644.08
39421.4,30925.8,5.6,402.96,143.08,594.5,883.96,40.18,-0.82,0.82,154.38,18.5,26.64,200.03
43842.2,16507.9,27.3,487.64,35.77,653.54,1199.66,343.58,65.6,36.9,209.16,8.88,37,191.73
40266.7,60657.2,75.6,832.93,665.76,1328.4,3673.6,633.04,154.98,123,450.69,122.1,40.7,363.54
97092.7,142654,149.8,2227.23,482.53,4451.78,9293.06,1760.54,319.8,153.34,1597.75,441.04,45.14,614.2
72748.8,75974,70,1332.25,534.36,2611.7,5987.64,1008.6,232.88,109.06,888.93,182.78,22.2,373.5
52338.2,31507.6,158.2,447.49,357.7,1298.06,3101.24,570.72,149.24,115.62,422.47,88.8,56.98,244.85
81645.8,119178,125.3,1660.02,722.7,2852.78,5648.98,1512.08,192.7,159.08,937.9,250.12,46.62,439.07
43002,21050.5,18.9,397.85,202.21,623.2,847.88,59.04,22.14,95.12,210.82,61.42,30.34,72.21
42773.8,30815.4,27.3,373.03,283.24,1115.2,2235.32,647.8,72.98,61.5,327.02,125.8,8.88,218.29
59382.7,64904.3,39.2,1122.74,97.82,1449.76,3205.38,840.5,118.9,74.62,365.2,136.9,-3.7,244.02
41778.7,34706.4,32.9,417.56,143.08,865.92,1193.92,478.06,105.78,36.9,278.05,86.58,19.98,195.05
76746.2,56858.3,128.8,1347.58,386.17,3112.72,6263.16,1214.42,215.66,168.1,982.72,276.76,16.28,440.73
